Id,Name,Set_of_Attrdeps,Set_of_Methoddeps
4,OperatorPanel,"{attrDeps:{Money:1,QuestionDialog:2}}","{methodDeps:{Money:1,QuestionDialog:2}}"
2,Keyboard,"{attrDeps:{Money:1,Display:2}}","{methodDeps:{Money:1,Display:1}}"
9,Session,"{attrDeps:{Status:4,WithdrawlTransaction:0,DepositTransaction:0,Bank:13,InquiryTransaction:0,ATM:13,TransferTransaction:0}}","{methodDeps:{WithdrawlTransaction:2,DepositTransaction:2,Bank:2,InquiryTransaction:2,ATM:7,TransferTransaction:2}}"
13,TransferTransaction,"{attrDeps:{Status:1,Money:1,Bank:13,ATM:13,Session:9}}","{methodDeps:{Bank:3,ATM:3,Session:2}}"
8,Bank,"{attrDeps:{Status:8,ATM:13}}","{methodDeps:{ATM:7}}"
20,Status,null,null
11,WithdrawlTransaction,"{attrDeps:{Status:2,Money:1,Bank:13,ATM:13,Session:9}}","{methodDeps:{Money:1,Bank:4,ATM:4,Session:2}}"
17,ATMMain,"{attrDeps:{Money:1}}","{methodDeps:{Money:1}}"
18,ATMApplet,"{attrDeps:{Money:1}}","{methodDeps:{Money:1}}"
15,GUILayout,null,null
12,DepositTransaction,"{attrDeps:{Status:2,Money:1,Bank:13,ATM:13,Session:9}}","{methodDeps:{Bank:4,ATM:4,Session:2}}"
7,ATM,"{attrDeps:{Money:3,Bank:13,Session:9}}","{methodDeps:{GUILayout:1,Money:3,Bank:1,Session:2}}"
3,CardReader,"{attrDeps:{QuestionDialog:2}}","{methodDeps:{QuestionDialog:2}}"
16,QuestionDialog,null,"{methodDeps:{GUILayout:1}}"
14,InquiryTransaction,"{attrDeps:{Status:1,Money:1,Bank:13,ATM:13,Session:9}}","{methodDeps:{Bank:3,ATM:2,Session:2}}"
0,ReceiptPrinter,"{attrDeps:{GUILayout:2,Money:1}}","{methodDeps:{Money:4}}"
5,EnvelopeAcceptor,null,null
6,CashDispenser,null,null
1,Display,"{attrDeps:{GUILayout:1}}",null
10,Transaction,"{attrDeps:{Status:2,Bank:13,ATM:13,Session:9}}","{methodDeps:{Bank:1,ATM:2,Session:2}}"
19,Money,null,null
