From,To,Type,Stype
10,8,1,As
11,20,1,As
9,14,4,Dy
9,11,1,As
13,9,1,As
6,19,2,Ag
8,19,2,Ag
13,19,1,As
14,7,1,As
17,7,2,Ag
3,16,1,As
7,1,2,Ag
7,2,2,Ag
10,19,2,Ag
0,15,1,As
9,13,1,As
7,6,2,Ag
11,8,1,As
18,19,1,As
9,14,1,As
11,10,3,I
12,7,1,As
18,7,2,Ag
14,10,3,I
10,20,1,As
17,8,2,Ag
7,3,2,Ag
12,19,1,As
10,9,1,As
11,19,1,As
7,9,1,As
12,8,1,As
13,8,1,As
11,7,1,As
14,20,1,As
2,19,1,As
7,15,1,As
9,12,4,Dy
9,13,4,Dy
9,8,1,As
4,16,1,As
14,9,1,As
7,4,2,Ag
13,20,1,As
18,8,2,Ag
7,8,1,As
14,19,1,As
12,10,3,I
7,0,2,Ag
13,7,1,As
8,7,1,As
0,19,1,As
1,15,1,As
9,7,1,As
9,11,4,Dy
9,12,1,As
12,20,1,As
16,15,1,As
9,10,2,Ag
12,9,1,As
4,19,1,As
10,7,1,As
13,10,3,I
14,8,1,As
17,19,1,As
9,20,1,As
11,9,1,As
8,20,1,As
2,1,1,As
7,19,1,As
7,5,2,Ag
