Id,Name
13,ConstantLong
7,ConstantCP
35,Node
34,Method
3,Code
20,ConstantValue
16,ConstantObject
30,LineNumber
18,ConstantString
23,EmptyVisitor
26,FieldOrMethod
0,AccessFlags
21,Deprecated
19,ConstantUtf8
42,Synthetic
41,StackMapType
4,CodeException
43,Unknown
33,LocalVariableTable
5,Constant
36,PMGClass
1,Attribute
6,ConstantClass
17,ConstantPool
32,LocalVariable
22,DescendingVisitor
25,Field
44,Visitor
31,LineNumberTable
28,InnerClasses
40,StackMapEntry
39,StackMap
27,InnerClass
11,ConstantInteger
12,ConstantInterfaceMethodref
29,JavaClass
15,ConstantNameAndType
10,ConstantFloat
14,ConstantMethodref
37,Signature
8,ConstantDouble
24,ExceptionTable
2,ClassParser
9,ConstantFieldref
38,SourceFile
