From,To,Type,Stype
29,9,1,As
29,3,4,Dy
2,37,4,Dy
44,24,1,As
1,36,1,As
20,12,1,As
34,33,1,As
42,22,4,Dy
2,28,4,Dy
23,31,1,As
23,18,1,As
23,17,1,As
25,33,4,Dy
15,22,4,Dy
43,1,3,I
24,1,3,I
23,25,1,As
25,38,4,Dy
10,44,1,As
5,35,3,I
38,23,4,Dy
37,44,1,As
24,44,1,As
10,5,3,I
44,11,1,As
11,23,4,Dy
32,23,4,Dy
34,31,4,Dy
2,36,4,Dy
44,14,1,As
17,23,4,Dy
17,5,1,As
22,39,1,As
2,42,4,Dy
37,1,3,I
12,7,3,I
9,7,3,I
1,39,1,As
26,33,4,Dy
19,22,4,Dy
28,27,1,As
10,16,3,I
44,21,1,As
34,38,4,Dy
28,23,4,Dy
31,23,4,Dy
5,23,4,Dy
15,17,1,As
29,19,1,As
29,0,3,I
44,3,1,As
22,33,4,Dy
23,19,1,As
22,42,1,As
31,30,1,As
25,20,4,Dy
17,44,1,As
39,22,4,Dy
23,10,1,As
18,17,1,As
17,7,1,As
5,11,1,As
23,15,1,As
20,10,1,As
26,36,4,Dy
1,42,1,As
44,32,1,As
23,6,1,As
43,23,4,Dy
23,33,1,As
13,44,1,As
1,37,1,As
22,15,4,Dy
23,34,1,As
20,13,1,As
17,7,4,Dy
18,22,4,Dy
22,13,1,As
20,15,4,Dy
36,44,1,As
39,17,1,As
13,5,3,I
8,44,1,As
29,23,4,Dy
23,32,1,As
9,23,4,Dy
44,6,1,As
17,35,3,I
8,5,3,I
34,33,4,Dy
29,28,4,Dy
5,9,1,As
26,37,4,Dy
22,27,1,As
34,31,1,As
1,38,1,As
6,22,4,Dy
10,23,4,Dy
1,33,1,As
44,20,1,As
22,3,1,As
42,1,3,I
34,43,4,Dy
10,22,4,Dy
29,17,1,As
11,44,1,As
26,20,4,Dy
24,17,1,As
32,35,3,I
27,23,4,Dy
25,22,4,Dy
44,31,1,As
21,17,1,As
23,21,1,As
20,17,1,As
22,1,1,As
23,44,3,I
17,19,1,As
32,5,3,I
22,31,4,Dy
26,31,4,Dy
23,9,1,As
20,23,4,Dy
42,44,1,As
1,44,1,As
29,25,1,As
38,1,3,I
22,8,1,As
5,13,1,As
15,44,1,As
37,19,1,As
34,22,4,Dy
31,44,1,As
3,31,1,As
29,43,4,Dy
33,22,4,Dy
27,17,1,As
37,22,4,Dy
33,23,4,Dy
22,15,1,As
22,3,4,Dy
5,6,1,As
23,24,1,As
40,41,1,As
2,3,4,Dy
23,4,1,As
25,36,4,Dy
22,25,1,As
19,44,1,As
23,12,1,As
22,42,4,Dy
22,7,4,Dy
22,10,1,As
23,14,1,As
14,23,4,Dy
23,11,1,As
1,21,1,As
29,24,4,Dy
22,36,4,Dy
5,18,1,As
34,28,4,Dy
25,42,4,Dy
23,40,1,As
1,23,4,Dy
2,1,2,Ag
25,21,4,Dy
7,17,1,As
13,16,3,I
1,20,1,As
3,33,1,As
22,30,1,As
22,28,1,As
34,36,4,Dy
13,23,4,Dy
23,38,1,As
5,22,4,Dy
29,37,4,Dy
30,23,4,Dy
17,10,1,As
40,23,4,Dy
27,44,1,As
25,1,1,As
18,16,3,I
33,32,1,As
22,28,4,Dy
32,22,4,Dy
2,29,1,As
44,40,1,As
16,17,1,As
22,43,1,As
3,23,4,Dy
36,23,4,Dy
44,38,1,As
43,44,1,As
25,31,4,Dy
4,23,4,Dy
29,44,1,As
23,20,1,As
3,4,1,As
26,38,4,Dy
22,29,1,As
6,16,3,I
25,44,1,As
28,17,1,As
1,32,1,As
17,8,1,As
11,17,1,As
20,11,1,As
2,34,2,Ag
32,17,1,As
29,33,4,Dy
40,44,1,As
26,21,4,Dy
22,24,4,Dy
22,19,1,As
44,12,1,As
42,23,4,Dy
2,20,4,Dy
20,44,1,As
34,3,1,As
28,22,4,Dy
14,44,1,As
29,38,4,Dy
17,15,1,As
23,27,1,As
11,22,4,Dy
44,4,1,As
26,19,1,As
22,21,4,Dy
22,32,1,As
25,3,4,Dy
2,25,2,Ag
18,23,4,Dy
21,1,3,I
38,17,1,As
26,24,4,Dy
36,22,4,Dy
20,1,3,I
26,0,3,I
22,14,1,As
5,8,1,As
19,23,4,Dy
34,42,4,Dy
1,19,1,As
44,39,1,As
22,6,4,Dy
31,17,1,As
12,22,4,Dy
34,3,4,Dy
2,17,2,Ag
1,22,4,Dy
2,31,4,Dy
9,22,4,Dy
34,44,1,As
21,44,1,As
34,24,1,As
38,22,4,Dy
26,17,0,None
6,5,3,I
30,44,1,As
3,1,3,I
23,42,1,As
22,44,3,I
39,1,3,I
17,15,4,Dy
34,37,4,Dy
33,44,1,As
44,33,1,As
6,44,1,As
34,1,1,As
22,43,4,Dy
30,35,3,I
15,23,4,Dy
2,43,4,Dy
6,19,1,As
35,44,1,As
22,31,1,As
44,10,1,As
35,22,4,Dy
1,31,1,As
33,1,3,I
1,24,1,As
22,18,1,As
23,3,1,As
22,32,4,Dy
17,19,4,Dy
29,20,4,Dy
3,17,1,As
17,18,1,As
17,32,4,Dy
27,19,1,As
8,17,1,As
32,19,1,As
22,34,1,As
20,19,1,As
21,23,4,Dy
5,12,1,As
31,22,4,Dy
22,24,1,As
4,22,4,Dy
31,1,3,I
13,17,1,As
22,19,4,Dy
29,38,1,As
2,33,4,Dy
34,19,1,As
8,22,4,Dy
26,1,1,As
34,21,4,Dy
23,13,1,As
2,21,4,Dy
25,23,4,Dy
23,39,1,As
20,19,4,Dy
24,22,4,Dy
44,34,1,As
37,17,1,As
39,35,3,I
1,17,1,As
4,44,1,As
3,22,4,Dy
22,6,1,As
18,5,3,I
26,35,3,I
13,22,4,Dy
4,17,1,As
25,28,4,Dy
17,22,4,Dy
18,44,1,As
20,5,1,As
17,6,4,Dy
36,17,1,As
22,17,1,As
44,13,1,As
3,44,1,As
39,44,1,As
26,3,4,Dy
5,10,1,As
5,15,1,As
4,35,3,I
25,17,1,As
28,1,3,I
20,22,4,Dy
17,9,4,Dy
28,44,1,As
44,27,1,As
44,42,1,As
17,14,1,As
17,6,1,As
5,19,1,As
14,7,3,I
26,42,4,Dy
44,18,1,As
22,5,1,As
27,22,4,Dy
34,32,1,As
29,22,4,Dy
1,35,3,I
20,7,4,Dy
1,3,1,As
6,17,1,As
25,43,4,Dy
34,17,1,As
6,23,4,Dy
26,28,4,Dy
32,44,1,As
9,44,1,As
2,24,4,Dy
14,22,4,Dy
20,18,1,As
20,32,4,Dy
17,12,4,Dy
2,38,4,Dy
36,19,1,As
22,37,4,Dy
5,14,1,As
24,23,4,Dy
21,22,4,Dy
40,22,4,Dy
36,1,3,I
29,34,1,As
15,5,3,I
18,19,1,As
38,44,1,As
7,5,3,I
