Id,Name,Set_of_Attrdeps,Set_of_Methoddeps
9,DClass,null,null
2,Address,"{attrDeps:{HINFORecord:8,NXTRecord:8,KEYRecord:8,MX_KXRecord:8,SIGRecord:8,TSIGRecord:8,PTRRecord:1,TKEYRecord:8,RPRecord:8,ARecord:8,TXTRecord:8,CERTRecord:8,Record:8,NSRecord:1,SOARecord:8,SRVRecord:8,AAAARecord:8,dns:5,A6Record:8,NAPTRRecord:8,CNAMERecord:1,UNKRecord:8,Type:2,DNAMERecord:1,OPTRecord:8,NS_CNAME_PTRRecord:8,KEYRecord2:8}}","{methodDeps:{HINFORecord:1,NXTRecord:1,KEYRecord:1,MX_KXRecord:1,SIGRecord:1,TSIGRecord:1,PTRRecord:1,TKEYRecord:1,RPRecord:1,ARecord:1,TXTRecord:1,CERTRecord:1,Record:1,NSRecord:1,SOARecord:1,SRVRecord:1,AAAARecord:1,dns:2,A6Record:1,NAPTRRecord:1,CNAMERecord:1,UNKRecord:1,DNAMERecord:1,OPTRecord:1,NS_CNAME_PTRRecord:1,KEYRecord2:1}}"
10,DNAMERecord,"{attrDeps:{Compression:1,Type:1,Name:12}}","{methodDeps:{Compression:1,Name:1}}"
53,KXRecord,"{attrDeps:{Compression:1,Type:1,Name:12}}","{methodDeps:{Compression:1,Name:1}}"
59,Resolver,null,null
30,Rcode,null,null
54,Message,"{attrDeps:{HINFORecord:1,Compression:1,NXTRecord:1,KEYRecord:1,MX_KXRecord:1,Opcode:2,SIGRecord:1,TSIGRecord:1,Name:12,PTRRecord:1,TKEYRecord:1,RPRecord:1,ARecord:1,TXTRecord:1,CERTRecord:1,NSRecord:1,SOARecord:1,SRVRecord:1,AAAARecord:1,Flags:1,Section:4,A6Record:1,NAPTRRecord:1,CNAMERecord:1,UNKRecord:1,Type:2,DNAMERecord:1,OPTRecord:1,DClass:1,NS_CNAME_PTRRecord:1,KEYRecord2:1}}","{methodDeps:{HINFORecord:1,Compression:1,NXTRecord:1,KEYRecord:1,MX_KXRecord:1,SIGRecord:1,TSIGRecord:1,Name:2,PTRRecord:1,TKEYRecord:1,RPRecord:1,ARecord:1,TXTRecord:1,CERTRecord:1,NSRecord:1,SOARecord:1,SRVRecord:1,AAAARecord:1,Section:2,A6Record:1,NAPTRRecord:1,CNAMERecord:1,UNKRecord:1,Type:1,DNAMERecord:1,OPTRecord:1,DClass:1,NS_CNAME_PTRRecord:1,KEYRecord2:1}}"
8,Credibility,null,null
4,BitString,null,"{methodDeps:{Options:1}}"
15,HINFORecord,"{attrDeps:{Compression:1,Type:1,Name:12}}","{methodDeps:{Compression:1,Name:1}}"
52,Header,null,"{methodDeps:{Opcode:1,Flags:1,Rcode:1,Section:1}}"
7,Compression,null,null
45,Type,null,null
55,MX_KXRecord,"{attrDeps:{Compression:1,Type:1,Name:12}}","{methodDeps:{Compression:1,Name:5}}"
46,TypeMap,"{attrDeps:{Type:1}}",null
34,RRset,"{attrDeps:{PTRRecord:1,CNAMERecord:1,Type:1,DNSSEC:1,DNAMERecord:1,NSRecord:1,NS_CNAME_PTRRecord:1,Name:12}}","{methodDeps:{PTRRecord:1,CNAMERecord:1,DNAMERecord:1,NSRecord:1,NS_CNAME_PTRRecord:1,Name:1}}"
29,PTRRecord,"{attrDeps:{Compression:1,Type:1,Name:12}}","{methodDeps:{Compression:1,Name:1}}"
3,ARecord,"{attrDeps:{Compression:1,Type:1,Name:12}}","{methodDeps:{Compression:1,Name:1}}"
41,TSIG,"{attrDeps:{HINFORecord:8,NXTRecord:8,KEYRecord:8,Message:7,MX_KXRecord:8,SIGRecord:8,TSIGRecord:8,Rcode:6,PTRRecord:1,TKEYRecord:8,RPRecord:8,ARecord:8,TXTRecord:8,CERTRecord:8,Record:8,NSRecord:1,SOARecord:8,SRVRecord:8,AAAARecord:8,Section:1,A6Record:8,NAPTRRecord:8,CNAMERecord:1,UNKRecord:8,DNAMERecord:1,OPTRecord:8,DClass:1,NS_CNAME_PTRRecord:8,KEYRecord2:8}}","{methodDeps:{HINFORecord:1,Options:1,NXTRecord:1,KEYRecord:1,Message:4,MX_KXRecord:1,SIGRecord:1,TSIGRecord:1,PTRRecord:1,TKEYRecord:1,RPRecord:1,ARecord:1,TXTRecord:1,CERTRecord:1,Record:1,NSRecord:1,SOARecord:1,SRVRecord:1,AAAARecord:1,A6Record:1,NAPTRRecord:1,CNAMERecord:1,UNKRecord:1,DNAMERecord:1,OPTRecord:1,NS_CNAME_PTRRecord:1,KEYRecord2:1}}"
17,KEYRecord,"{attrDeps:{Compression:1,Type:1,DNSSEC:1,Name:12}}","{methodDeps:{Options:1,Compression:1,Name:1}}"
6,CNAMERecord,"{attrDeps:{Compression:1,Type:1,Name:12}}",null
40,TKEYRecord,"{attrDeps:{Compression:1,Type:1,SIGRecord:9}}","{methodDeps:{Compression:1,SIGRecord:2,Rcode:1}}"
27,Options,null,null
38,SOARecord,"{attrDeps:{Compression:1}}","{methodDeps:{Compression:1,TTL:1}}"
11,dns,"{attrDeps:{HINFORecord:8,ExtendedResolver:1,NXTRecord:8,KEYRecord:8,Message:7,MX_KXRecord:8,RRset:4,SIGRecord:8,TSIGRecord:8,Rcode:2,Name:12,SetResponse:9,PTRRecord:1,TKEYRecord:8,RPRecord:8,ARecord:8,TXTRecord:8,CERTRecord:8,Record:8,NSRecord:1,SOARecord:8,SRVRecord:8,AAAARecord:8,Credibility:2,SimpleResolver:1,A6Record:8,NAPTRRecord:8,CNAMERecord:1,UNKRecord:8,Type:1,DNAMERecord:1,OPTRecord:8,DClass:1,NS_CNAME_PTRRecord:8,KEYRecord2:8,Cache:6}}","{methodDeps:{HINFORecord:2,Options:1,FindServer:1,ExtendedResolver:2,NXTRecord:2,KEYRecord:2,Message:3,MX_KXRecord:2,RRset:2,SIGRecord:2,TSIGRecord:2,Name:6,SetResponse:9,PTRRecord:1,TKEYRecord:2,RPRecord:2,ARecord:2,TXTRecord:2,CERTRecord:2,Record:2,NSRecord:1,SOARecord:2,SRVRecord:2,AAAARecord:2,Resolver:2,SimpleResolver:2,A6Record:2,NAPTRRecord:2,CNAMERecord:1,UNKRecord:2,Type:2,DNAMERecord:1,OPTRecord:2,NS_CNAME_PTRRecord:2,KEYRecord2:2,Cache:4}}"
48,WireParseException,null,null
1,AAAARecord,"{attrDeps:{Compression:1,Type:1,Inet6Address:1,Name:12}}","{methodDeps:{Compression:1,Inet6Address:4,Name:1}}"
43,TTL,null,null
44,TXTRecord,"{attrDeps:{Compression:1,Type:1,Name:12}}","{methodDeps:{Compression:1,Name:1}}"
12,DNSSEC,null,null
47,UNKRecord,"{attrDeps:{Compression:1,Name:12}}","{methodDeps:{Compression:1,Name:1}}"
58,Verifier,null,null
18,KEYRecord2,"{attrDeps:{Compression:1,Type:1,Name:12}}","{methodDeps:{Compression:1,WireParseException:1,Name:1}}"
51,ExtendedResolver,"{attrDeps:{ResolveThread:4,Message:7,Rcode:2,SimpleResolver:10,Name:12}}","{methodDeps:{Options:1,FindServer:1,ResolveThread:1,Message:3,ResolverListener:2,SimpleResolver:2,Name:1}}"
33,RPRecord,"{attrDeps:{Compression:1,Type:1}}","{methodDeps:{Compression:1}}"
39,SRVRecord,"{attrDeps:{Compression:1}}","{methodDeps:{Compression:1}}"
24,NS_CNAME_PTRRecord,"{attrDeps:{Compression:1,Type:1,Name:12}}","{methodDeps:{Compression:1,Name:5}}"
22,NAPTRRecord,"{attrDeps:{Compression:1,Type:1,Name:12}}","{methodDeps:{Options:1,Compression:1,Name:2}}"
