From,To,Type,Stype
37,47,4,Dy
37,44,4,Dy
54,28,4,Dy
53,7,1,As
3,7,1,As
49,36,1,As
41,10,4,Dy
41,42,1,As
50,35,1,As
34,6,4,Dy
41,3,4,Dy
6,24,3,I
19,55,4,Dy
50,54,1,As
55,20,1,As
41,25,4,Dy
49,40,4,Dy
51,13,1,As
37,28,1,As
31,9,1,As
31,27,1,As
41,9,1,As
25,31,3,I
41,57,4,Dy
32,59,1,As
41,22,4,Dy
17,7,1,As
41,15,4,Dy
2,17,4,Dy
2,3,4,Dy
24,45,1,As
2,18,4,Dy
55,45,1,As
31,45,1,As
49,34,1,As
51,59,3,I
40,57,1,As
15,20,1,As
44,45,1,As
2,55,4,Dy
33,45,1,As
2,22,4,Dy
34,29,4,Dy
24,20,1,As
2,3,1,As
60,54,1,As
2,25,4,Dy
54,28,1,As
2,15,4,Dy
0,31,3,I
2,10,4,Dy
21,46,1,As
2,57,4,Dy
37,28,4,Dy
55,7,1,As
49,33,4,Dy
29,24,3,I
19,5,4,Dy
31,7,1,As
33,7,1,As
37,13,1,As
44,20,1,As
49,9,1,As
49,57,4,Dy
19,45,1,As
41,20,2,Ag
15,45,1,As
19,15,4,Dy
1,16,1,As
49,6,1,As
41,42,4,Dy
34,23,4,Dy
3,20,1,As
7,20,2,Ag
41,30,1,As
53,20,1,As
37,55,4,Dy
37,59,3,I
19,44,4,Dy
37,23,4,Dy
49,10,4,Dy
42,31,3,I
11,47,4,Dy
54,44,4,Dy
50,6,1,As
54,5,4,Dy
49,27,1,As
19,25,4,Dy
2,33,4,Dy
41,1,4,Dy
21,45,1,As
11,54,1,As
11,6,4,Dy
19,28,4,Dy
33,20,2,Ag
47,31,3,I
41,28,4,Dy
11,13,1,As
19,1,4,Dy
3,45,1,As
50,21,3,I
17,27,1,As
15,7,1,As
19,20,1,As
11,23,4,Dy
41,17,4,Dy
21,20,0,None
31,20,1,As
19,17,4,Dy
54,17,4,Dy
49,54,1,As
10,7,1,As
49,6,4,Dy
11,55,4,Dy
54,1,4,Dy
37,17,4,Dy
41,24,1,As
37,35,1,As
41,5,4,Dy
38,20,2,Ag
49,35,1,As
49,18,4,Dy
32,51,4,Dy
28,7,1,As
54,39,4,Dy
0,16,1,As
49,38,4,Dy
37,38,4,Dy
50,12,1,As
49,22,4,Dy
1,31,3,I
57,31,3,I
47,7,1,As
54,31,2,Ag
54,15,4,Dy
11,24,4,Dy
6,45,1,As
34,12,1,As
54,57,4,Dy
41,44,4,Dy
11,28,4,Dy
32,60,1,As
54,42,4,Dy
54,10,4,Dy
17,45,1,As
11,10,1,As
11,8,1,As
37,14,1,As
49,37,4,Dy
54,52,2,Ag
53,45,1,As
49,25,4,Dy
54,42,1,As
11,6,1,As
17,31,3,I
0,20,1,As
4,27,1,As
52,30,1,As
50,36,1,As
29,20,1,As
46,45,1,As
51,60,1,As
5,31,3,I
37,32,1,As
37,33,4,Dy
18,7,1,As
41,24,4,Dy
59,54,1,As
50,19,1,As
11,5,4,Dy
11,24,1,As
49,51,4,Dy
11,31,1,As
18,31,3,I
31,57,1,As
19,3,4,Dy
11,50,1,As
22,27,1,As
50,46,1,As
49,59,1,As
1,7,1,As
38,45,1,As
37,29,4,Dy
54,6,4,Dy
17,20,1,As
2,29,4,Dy
19,23,4,Dy
37,47,1,As
54,22,4,Dy
41,55,4,Dy
49,0,4,Dy
37,0,4,Dy
49,42,4,Dy
19,9,1,As
29,45,1,As
57,43,1,As
41,27,1,As
57,27,1,As
37,38,1,As
49,38,1,As
11,39,4,Dy
20,48,1,As
19,33,4,Dy
37,60,1,As
2,29,1,As
58,34,1,As
51,32,1,As
19,40,4,Dy
41,18,4,Dy
25,20,1,As
41,6,4,Dy
54,55,4,Dy
13,20,1,As
37,25,4,Dy
57,7,1,As
6,20,1,As
22,7,1,As
49,29,4,Dy
11,30,1,As
49,17,4,Dy
11,44,4,Dy
11,1,4,Dy
19,47,4,Dy
50,20,1,As
2,42,4,Dy
42,7,1,As
