Id,Name,Set_of_Attrdeps,Set_of_Methoddeps
73,org.jhotdraw.draw.action.SelectSameAction,"{attrDeps:{org.jhotdraw.draw.DrawingEditor:1,org.jhotdraw.draw.action.AbstractSelectedAction:1,org.jhotdraw.draw.DefaultDrawingView:2}}","{methodDeps:{org.jhotdraw.draw.CompositeFigure:1,org.jhotdraw.draw.action.AbstractSelectedAction:1,org.jhotdraw.util.ResourceBundleUtil:1,org.jhotdraw.draw.DefaultDrawingView:2,org.jhotdraw.draw.DrawingView:2}}"
67,org.jhotdraw.draw.action.MoveAction,"{attrDeps:{org.jhotdraw.draw.DecoratedFigure:22,org.jhotdraw.draw.DrawingEditor:1,org.jhotdraw.draw.CompositeFigure:22,org.jhotdraw.draw.action.AbstractSelectedAction:1,org.jhotdraw.draw.ConnectionFigure:22,org.jhotdraw.draw.DefaultDrawingView:3,org.jhotdraw.draw.TextHolderFigure:22,org.jhotdraw.draw.ImageHolderFigure:22}}","{methodDeps:{org.jhotdraw.draw.event.TransformEdit:1,org.jhotdraw.draw.DecoratedFigure:3,org.jhotdraw.draw.CompositeFigure:3,org.jhotdraw.draw.action.AbstractSelectedAction:1,org.jhotdraw.draw.ConnectionFigure:3,org.jhotdraw.draw.DefaultDrawingView:2,org.jhotdraw.draw.Figure:3,org.jhotdraw.draw.DrawingView:2,org.jhotdraw.draw.TextHolderFigure:3,org.jhotdraw.draw.ImageHolderFigure:3}}"
101,org.jhotdraw.draw.DiamondFigure,"{attrDeps:{org.jhotdraw.draw.tool.AbstractTool:1,org.jhotdraw.draw.DrawingEditorProxy:1,org.jhotdraw.draw.AbstractCompositeFigure:1,org.jhotdraw.draw.AbstractConstrainer:1,org.jhotdraw.draw.DefaultDrawingEditor:1,org.jhotdraw.draw.ConnectionFigure:1,org.jhotdraw.draw.AbstractFigure:1,org.jhotdraw.draw.AbstractAttributedFigure:1,org.jhotdraw.draw.connector.Connector:3,org.jhotdraw.draw.AttributeKey:1,org.jhotdraw.beans.AbstractBean:1}}","{methodDeps:{org.jhotdraw.geom.Geom:4,org.jhotdraw.draw.tool.AbstractTool:1,org.jhotdraw.draw.DrawingEditorProxy:1,org.jhotdraw.draw.AbstractCompositeFigure:1,org.jhotdraw.draw.AbstractConstrainer:1,org.jhotdraw.draw.DefaultDrawingEditor:1,org.jhotdraw.draw.AbstractFigure:1,org.jhotdraw.draw.AbstractAttributedFigure:1,org.jhotdraw.draw.AttributeKeys:4,org.jhotdraw.draw.connector.ChopDiamondConnector:2,org.jhotdraw.draw.AttributeKey:1}}"
52,org.jhotdraw.draw.action.AttributeToggler,"{attrDeps:{org.jhotdraw.draw.DecoratedFigure:8,org.jhotdraw.draw.DrawingEditor:4,org.jhotdraw.draw.CompositeFigure:8,org.jhotdraw.draw.ConnectionFigure:8,org.jhotdraw.draw.DefaultDrawingView:1,org.jhotdraw.draw.DrawingView:1,org.jhotdraw.draw.TextHolderFigure:8,org.jhotdraw.draw.AttributeKey:4,org.jhotdraw.draw.ImageHolderFigure:8}}","{methodDeps:{org.jhotdraw.draw.DecoratedFigure:5,org.jhotdraw.draw.DrawingEditor:1,org.jhotdraw.draw.CompositeFigure:5,org.jhotdraw.draw.Drawing:1,org.jhotdraw.draw.ConnectionFigure:5,org.jhotdraw.draw.DefaultDrawingView:3,org.jhotdraw.draw.Figure:5,org.jhotdraw.draw.DrawingView:3,org.jhotdraw.draw.TextHolderFigure:5,org.jhotdraw.draw.ImageHolderFigure:5}}"
142,org.jhotdraw.draw.handle.Handle,"{attrDeps:{org.jhotdraw.draw.DecoratedFigure:1,org.jhotdraw.draw.CompositeFigure:1,org.jhotdraw.draw.ConnectionFigure:1,org.jhotdraw.draw.DefaultDrawingView:1,org.jhotdraw.draw.Figure:1,org.jhotdraw.draw.event.HandleListener:2,org.jhotdraw.draw.DrawingView:1,org.jhotdraw.draw.TextHolderFigure:1,org.jhotdraw.draw.ImageHolderFigure:1}}","{methodDeps:{org.jhotdraw.draw.DecoratedFigure:1,org.jhotdraw.draw.CompositeFigure:1,org.jhotdraw.draw.ConnectionFigure:1,org.jhotdraw.draw.DefaultDrawingView:1,org.jhotdraw.draw.TextHolderFigure:1,org.jhotdraw.draw.ImageHolderFigure:1}}"
180,org.jhotdraw.draw.tool.BezierTool,"{attrDeps:{org.jhotdraw.draw.LineFigure:7,org.jhotdraw.draw.AbstractCompositeFigure:1,org.jhotdraw.draw.DrawingEditor:2,org.jhotdraw.draw.CompositeFigure:3,org.jhotdraw.draw.Figure:3,org.jhotdraw.draw.ImageHolderFigure:3,org.jhotdraw.draw.tool.AbstractTool:1,org.jhotdraw.draw.DecoratedFigure:3,org.jhotdraw.geom.BezierPath:2,org.jhotdraw.draw.ConnectionFigure:3,org.jhotdraw.draw.DefaultDrawingView:3,org.jhotdraw.draw.AbstractAttributedFigure:1,org.jhotdraw.draw.BezierFigure:7,org.jhotdraw.draw.DrawingView:3,org.jhotdraw.draw.TextHolderFigure:3}}","{methodDeps:{org.jhotdraw.geom.Geom:1,org.jhotdraw.draw.LineFigure:27,org.jhotdraw.draw.AbstractCompositeFigure:4,org.jhotdraw.draw.DrawingEditor:1,org.jhotdraw.draw.CompositeFigure:3,org.jhotdraw.util.ResourceBundleUtil:2,org.jhotdraw.draw.Drawing:2,org.jhotdraw.geom.Bezier:1,org.jhotdraw.draw.ImageHolderFigure:3,org.jhotdraw.draw.tool.AbstractTool:1,org.jhotdraw.draw.DecoratedFigure:3,org.jhotdraw.geom.BezierPath:1,org.jhotdraw.draw.ConnectionFigure:3,org.jhotdraw.draw.DefaultDrawingView:16,org.jhotdraw.draw.AbstractFigure:4,org.jhotdraw.draw.AbstractAttributedFigure:4,org.jhotdraw.draw.BezierFigure:27,org.jhotdraw.draw.DrawingView:16,org.jhotdraw.draw.TextHolderFigure:3,org.jhotdraw.draw.Constrainer:2}}"
80,org.jhotdraw.draw.AttributeKeys,"{attrDeps:{org.jhotdraw.draw.DecoratedFigure:9,org.jhotdraw.draw.CompositeFigure:9,org.jhotdraw.util.ResourceBundleUtil:1,org.jhotdraw.geom.GrowStroke:3,org.jhotdraw.draw.ConnectionFigure:9,org.jhotdraw.draw.Figure:9,org.jhotdraw.draw.TextHolderFigure:9,org.jhotdraw.draw.AttributeKey:40,org.jhotdraw.draw.ImageHolderFigure:9}}","{methodDeps:{org.jhotdraw.draw.DecoratedFigure:37,org.jhotdraw.draw.CompositeFigure:37,org.jhotdraw.util.ResourceBundleUtil:1,org.jhotdraw.geom.GrowStroke:2,org.jhotdraw.draw.ConnectionFigure:37,org.jhotdraw.draw.Figure:37,org.jhotdraw.geom.DoubleStroke:2,org.jhotdraw.geom.Dimension2DDouble:1,org.jhotdraw.draw.TextHolderFigure:37,org.jhotdraw.draw.AttributeKey:41,org.jhotdraw.draw.ImageHolderFigure:37}}"
57,org.jhotdraw.draw.action.DrawingAttributeAction,"{attrDeps:{org.jhotdraw.draw.action.AbstractDrawingViewAction:1,org.jhotdraw.draw.DecoratedFigure:2,org.jhotdraw.draw.DrawingEditor:6,org.jhotdraw.draw.CompositeFigure:2,org.jhotdraw.draw.ConnectionFigure:2,org.jhotdraw.draw.DefaultDrawingView:5,org.jhotdraw.draw.TextHolderFigure:2,org.jhotdraw.draw.AttributeKey:5,org.jhotdraw.draw.ImageHolderFigure:2}}","{methodDeps:{org.jhotdraw.draw.action.AbstractDrawingViewAction:1,org.jhotdraw.draw.DecoratedFigure:4,org.jhotdraw.draw.CompositeFigure:4,org.jhotdraw.draw.ConnectionFigure:4,org.jhotdraw.draw.DefaultDrawingView:1,org.jhotdraw.draw.Figure:4,org.jhotdraw.draw.DrawingView:1,org.jhotdraw.draw.TextHolderFigure:4,org.jhotdraw.draw.ImageHolderFigure:4}}"
212,org.jhotdraw.gui.datatransfer.CompositeTransferable,null,null
254,org.jhotdraw.xml.DOMFactory,"{attrDeps:{org.jhotdraw.xml.DOMInput:1,org.jhotdraw.xml.NanoXMLDOMInput:1,org.jhotdraw.xml.DOMOutput:1,org.jhotdraw.xml.NanoXMLDOMOutput:1}}","{methodDeps:{org.jhotdraw.xml.NanoXMLDOMInput:1,org.jhotdraw.xml.NanoXMLDOMOutput:1}}"
