From,To,Type,Stype
7,6,1,As
180,162,4,Dy
152,203,1,As
180,103,1,As
56,153,4,Dy
174,112,4,Dy
148,138,4,Dy
99,114,1,As
127,79,2,Ag
68,127,1,As
8,6,1,As
133,203,1,As
216,210,3,I
244,173,1,As
43,34,3,I
39,104,4,Dy
53,251,1,As
88,84,3,I
130,203,1,As
197,80,1,As
245,243,1,As
152,45,4,Dy
95,178,4,Dy
259,15,1,As
70,49,4,Dy
184,102,1,As
145,150,4,Dy
40,42,4,Dy
44,256,1,As
152,197,4,Dy
176,197,4,Dy
26,217,1,As
92,172,1,As
161,135,1,As
186,183,4,Dy
86,88,3,I
174,82,4,Dy
54,53,1,As
105,93,4,Dy
171,41,4,Dy
54,57,1,As
66,173,4,Dy
133,102,1,As
74,99,4,Dy
211,216,4,Dy
175,153,4,Dy
87,84,1,As
105,83,4,Dy
103,188,4,Dy
85,84,1,As
88,82,4,Dy
183,82,4,Dy
169,166,4,Dy
41,34,1,As
70,68,4,Dy
101,104,4,Dy
122,124,3,I
86,88,4,Dy
258,102,4,Dy
171,41,3,I
132,113,2,Ag
227,239,1,As
120,93,4,Dy
11,5,3,I
259,5,1,As
146,153,4,Dy
5,16,4,Dy
54,186,1,As
71,99,4,Dy
131,153,4,Dy
86,203,1,As
170,42,4,Dy
152,88,1,As
163,259,4,Dy
76,251,1,As
55,251,1,As
169,166,3,I
152,45,1,As
244,31,1,As
99,142,1,As
129,43,4,Dy
156,127,1,As
150,153,4,Dy
73,48,3,I
115,105,2,Ag
57,103,2,Ag
8,12,4,Dy
195,124,2,Ag
138,82,4,Dy
70,56,4,Dy
97,42,1,As
185,132,4,Dy
242,102,1,As
260,22,1,As
134,246,1,As
176,45,4,Dy
144,166,4,Dy
50,93,4,Dy
173,83,1,As
129,43,3,I
193,99,4,Dy
141,135,4,Dy
183,179,3,I
69,82,4,Dy
244,173,4,Dy
81,80,1,As
155,178,4,Dy
54,48,1,As
177,260,4,Dy
121,45,1,As
40,43,4,Dy
48,36,1,As
146,142,1,As
98,99,4,Dy
185,105,1,As
54,52,1,As
164,255,1,As
170,42,1,As
76,82,2,Ag
145,82,4,Dy
187,127,1,As
169,260,4,Dy
100,159,4,Dy
85,82,4,Dy
54,53,4,Dy
180,93,4,Dy
98,105,1,As
70,153,4,Dy
61,50,4,Dy
99,252,1,As
202,199,1,As
54,57,4,Dy
136,178,4,Dy
186,142,1,As
127,188,4,Dy
87,82,4,Dy
58,51,4,Dy
40,45,4,Dy
182,83,4,Dy
182,93,4,Dy
211,216,1,As
11,21,4,Dy
142,178,4,Dy
82,127,3,I
84,178,4,Dy
54,248,1,As
60,153,4,Dy
154,158,3,I
136,81,1,As
152,90,4,Dy
170,41,4,Dy
154,257,1,As
41,256,1,As
68,105,1,As
141,131,4,Dy
30,217,1,As
40,93,3,I
42,201,1,As
259,33,3,I
57,79,2,Ag
145,92,1,As
80,127,1,As
244,77,1,As
176,43,4,Dy
244,176,1,As
41,127,1,As
233,232,1,As
125,82,4,Dy
259,255,3,I
186,194,4,Dy
155,153,1,As
141,166,4,Dy
44,34,1,As
40,93,4,Dy
131,142,1,As
170,206,1,As
54,71,4,Dy
154,254,1,As
173,43,4,Dy
70,73,4,Dy
154,157,3,I
81,256,1,As
79,93,4,Dy
166,153,4,Dy
119,132,4,Dy
54,65,4,Dy
193,82,4,Dy
139,82,4,Dy
133,153,4,Dy
204,203,1,As
164,83,1,As
244,83,1,As
85,93,4,Dy
180,45,1,As
5,4,2,Ag
58,48,1,As
72,127,1,As
20,6,1,As
176,192,1,As
136,81,4,Dy
88,91,1,As
242,177,1,As
50,83,4,Dy
176,188,4,Dy
58,61,3,I
177,106,4,Dy
113,127,2,Ag
152,43,4,Dy
27,251,1,As
37,38,3,I
67,48,3,I
71,105,1,As
54,67,4,Dy
77,99,4,Dy
109,178,4,Dy
155,248,1,As
180,41,4,Dy
58,67,4,Dy
54,69,4,Dy
94,178,4,Dy
86,93,4,Dy
80,201,1,As
120,83,4,Dy
42,127,1,As
85,83,4,Dy
120,103,1,As
60,103,1,As
148,132,1,As
104,178,4,Dy
244,64,1,As
133,189,4,Dy
136,171,4,Dy
97,93,4,Dy
147,132,4,Dy
105,103,2,Ag
193,184,4,Dy
177,194,1,As
170,43,4,Dy
258,255,1,As
58,65,4,Dy
244,251,1,As
170,79,1,As
79,83,4,Dy
7,12,4,Dy
1,4,2,Ag
69,251,1,As
61,51,4,Dy
97,203,1,As
135,134,1,As
8,20,1,As
112,113,2,Ag
63,79,2,Ag
80,204,4,Dy
154,260,1,As
103,187,4,Dy
147,127,2,Ag
130,45,1,As
193,179,1,As
100,154,4,Dy
64,127,1,As
198,203,1,As
