Id,Name,Set_of_Attrdeps,Set_of_Methoddeps
83,org.apache.lucene.index.Test2783$MockIndexWriter,"{attrDeps:{org.apache.lucene.index.Test2783:2}}","{methodDeps:{org.apache.lucene.index.Test2783:1}}"
38,groovy.servlet.TestRequest,null,null
162,Test7122142$Task,null,null
142,Test6648001$MyAuthenticator,null,null
152,Test7045594$MyResources0,null,null
22,Dbcp65$Thread1,"{attrDeps:{Dbcp65:3}}","{methodDeps:{Dbcp65:1}}"
99,org.codehaus.groovy.ast.Groovy4292$AsyncWeakRef,null,null
37,groovy.servlet.TestConfig,null,"{methodDeps:{groovy.servlet.TestServletContext:1}}"
50,MyObject,null,null
180,testUtils.JavaVM,null,"{methodDeps:{testUtils.TestLibrary:2,testUtils.StreamPipe:2}}"
58,org.apache.commons.dbcp.Dbcp271$Write,"{attrDeps:{org.apache.commons.dbcp.Dbcp271:2}}","{methodDeps:{org.apache.commons.dbcp.Dbcp271:5}}"
20,Dbcp270$Thread2,"{attrDeps:{Dbcp270:2}}","{methodDeps:{Dbcp270:1}}"
45,Groovy4736$1,"{attrDeps:{Groovy4736:2}}","{methodDeps:{Groovy4736:1}}"
135,Test6582568$2,null,null
121,Test4742723$1,null,null
14,com.b.AnException,null,null
69,org.apache.derby.impl.services.reflect.Derby764,"{attrDeps:{org.apache.derby.impl.services.locks.LockOperator:2}}","{methodDeps:{org.apache.derby.impl.services.reflect.Derby764$Thread1:1,org.apache.derby.impl.services.locks.LockOperator:2,org.apache.derby.impl.services.reflect.Derby764$Thread2:1}}"
43,Groovy3495$1,"{attrDeps:{Groovy3495:2}}","{methodDeps:{Groovy3495:2}}"
71,org.apache.derby.impl.store.raw.data.Derby5447$Thread2,"{attrDeps:{org.apache.derby.impl.store.raw.data.Derby5447:2}}","{methodDeps:{org.apache.derby.impl.store.raw.data.Derby5447:2}}"
103,RacingThreadsTest,"{attrDeps:{RacingThreadsTest$DriverThread:6,RacingThreadsTest$WorkerThread:5,Test7045594$MyWorkerThread:5}}","{methodDeps:{RacingThreadsTest$DriverThread:2,RacingThreadsTest$WorkerThread:1,Test7045594$MyWorkerThread:1}}"
32,Derby5561$TestConnection,null,"{methodDeps:{Derby5561:2}}"
159,Test7100996,null,"{methodDeps:{Test7100996$1:1,Test7100996$2:1}}"
92,org.apache.lucene.store.MockRAMInputStream,"{attrDeps:{org.apache.lucene.store.MockRAMDirectory:2}}",null
133,Test6492872,null,"{methodDeps:{Test6492872$1:1}}"
78,org.apache.log4j.Test50463$1,"{attrDeps:{org.apache.log4j.Test50463:2}}",null
98,org.apache.lucene.util._TestUtil293,null,null
42,groovy.util.TestTask,null,null
161,Test7122142$AnnB,null,null
29,Derby5560,null,"{methodDeps:{org.apache.derby.client.ConnectionSetter:1,Derby5560$Thread1:1,Derby5560$Thread2:1}}"
61,org.apache.commons.pool.Test46$Reader,"{attrDeps:{org.apache.commons.pool.Test46:2}}","{methodDeps:{org.apache.commons.pool.Test46:4}}"
76,org.apache.log4j.Test38137$MockEvent,"{attrDeps:{org.apache.log4j.Test38137:2}}",null
86,org.apache.lucene.index.Test2783,"{attrDeps:{org.apache.lucene.util.LuceneTestCase293:1}}","{methodDeps:{org.apache.lucene.util.LuceneTestCase293:1,org.apache.lucene.index.Test2783$MockIndexWriter:1,org.apache.lucene.index.Test2783$SearcherThread:2,org.apache.lucene.index.Test2783$IndexerThread:2,org.apache.lucene.util.English:1,org.apache.lucene.util._TestUtil293:1,org.apache.lucene.store.MockRAMDirectory:1,org.apache.lucene.store.FSDirectory:1}}"
23,Dbcp65$Thread2,"{attrDeps:{Dbcp65:3}}","{methodDeps:{Dbcp65:1}}"
19,Dbcp270$Thread1,"{attrDeps:{Dbcp270:2}}","{methodDeps:{Dbcp270:1}}"
46,Groovy4736$2,"{attrDeps:{Groovy4736:2}}","{methodDeps:{Groovy4736:2}}"
122,Test4742723$2,null,null
64,org.apache.commons.pool.TestBaseObjectPool,null,null
1,asm.ActivationModifier,"{attrDeps:{asm.FutureTaskSleepFactory:1}}","{methodDeps:{asm.ActivationMVFactory:1,asm.NamingMVFactory:1,asm.FutureTaskSleepFactory:1}}"
127,Test4779253,null,"{methodDeps:{Test4779253$1:1,Test4779253$WorkerThread2:1,Test4779253$WorkerThread1:1}}"
145,Test6927486,null,"{methodDeps:{MyThread:2,MyObject:2}}"
3,asm.AddGS2NamingLookUpMV,null,null
108,Test146$SimpleFactory,null,null
147,Test6934356$TestThread,null,null
51,MyThread,null,null
63,org.apache.commons.pool.Test46,"{attrDeps:{org.apache.commons.pool.TestBaseObjectPool:2}}","{methodDeps:{org.apache.commons.pool.TestBaseObjectPool:1,org.apache.commons.pool.Test46$Reader:1,org.apache.commons.pool.Test46$Writer:1}}"
132,Test6492872$1,"{attrDeps:{Test6492872:2}}","{methodDeps:{Test6492872:1}}"
185,testUtils.TestLibrary$1,null,null
95,org.apache.lucene.util.English,null,null
126,Test4779253$WorkerThread2,"{attrDeps:{Test4779253:2}}","{methodDeps:{Test4779253:2}}"
11,asm.NamingMVFactory,null,"{methodDeps:{asm.AddGS2NamingLookUpMV:1}}"
154,Test7045594$MyResources2,null,null
184,testUtils.TestFailedException,null,null
66,org.apache.derby.impl.services.locks.LockOperator,null,null
158,Test7100996$2,"{attrDeps:{Test7100996:2}}",null
47,Groovy4736$3,"{attrDeps:{Groovy4736:2}}","{methodDeps:{Groovy4736:2}}"
75,org.apache.log4j.Test38137$AppendThread,"{attrDeps:{org.apache.log4j.Test38137:2}}","{methodDeps:{org.apache.log4j.Test38137:1,org.apache.log4j.Test38137$MockEvent:1}}"
12,asm.SleepMVFactory,null,"{methodDeps:{asm.AddSleep2LoggerAdapter:1}}"
168,Test7132889$1,null,null
172,Test8010939,null,"{methodDeps:{Test8010939$ReadConfig:1,Test8010939$SetupLogger:1}}"
0,AnnoTest,null,null
176,testUtils.ActivatableImpl,"{attrDeps:{testUtils.MyRMI:1}}","{methodDeps:{testUtils.ActivationLibrary:1,testUtils.MyRMI:1}}"
13,com.a.AnObject,null,null
82,org.apache.lucene.index.Test2783$IndexerThread,"{attrDeps:{org.apache.lucene.index.Test2783$TimedThread:1}}","{methodDeps:{org.apache.lucene.util.English:1,org.apache.lucene.index.Test2783$TimedThread:1}}"
124,Test4779253$1,"{attrDeps:{Test4779253:2}}",null
174,Test8012019,null,"{methodDeps:{Test8012019$1:1}}"
25,Derby4129$1,null,null
186,testUtils.TestLibrary$2,null,null
15,com.c.AnObjectThread,null,"{methodDeps:{com.a.AnObject:1}}"
125,Test4779253$WorkerThread1,"{attrDeps:{Test4779253:2}}","{methodDeps:{Test4779253:4}}"
59,org.apache.commons.dbcp.Dbcp271,null,"{methodDeps:{org.apache.commons.dbcp.Dbcp271$Write:1,org.apache.commons.dbcp.Dbcp271$Read:1}}"
90,org.apache.lucene.store.MockRAMDirectory$Failure,"{attrDeps:{org.apache.lucene.store.MockRAMDirectory:1}}",null
21,Dbcp270,null,"{methodDeps:{Dbcp270$Thread2:1,Dbcp270$Thread1:1}}"
153,Test7045594$MyResources1,null,null
9,asm.FutureTaskSleepFactory,"{attrDeps:{asm.ActivationMVFactory:1}}","{methodDeps:{asm.ActivationMVFactory:1,asm.AddSleepMethod2FutureTaskAdapter:1}}"
31,Derby5561$NullRunnable,null,"{methodDeps:{Derby5561:3}}"
30,Derby5561$NativeRunnable,null,"{methodDeps:{Derby5561:3}}"
157,Test7100996$1,"{attrDeps:{Test7100996:2}}","{methodDeps:{Test7100996:1}}"
18,com.main.Test41214,null,"{methodDeps:{com.main.RootLoggerThread:1,com.c.AnObjectThread:1,com.d.AnExceptionThread:1}}"
134,Test6582568$1,null,null
148,Test6934356,null,"{methodDeps:{Test6934356$TestBarrier:1,Test6934356$TestThread:3}}"
187,testUtils.TestLibrary,null,"{methodDeps:{testUtils.TestLibrary$1:1,testUtils.TestLibrary$2:1,testUtils.TestFailedException:1}}"
175,Test8023541,"{attrDeps:{testUtils.ActivatableImpl:1,testUtils.ActivatableImpl_Stub:1,testUtils.MyRMI:1}}","{methodDeps:{testUtils.ActivationLibrary:4,testUtils.TestLibrary:9,testUtils.ActivatableImpl:2,testUtils.ActivatableImpl_Stub:2,testUtils.RMID:3,testUtils.MyRMI:2}}"
70,org.apache.derby.impl.store.raw.data.Derby5447$Thread1,"{attrDeps:{org.apache.derby.impl.store.raw.data.Derby5447:2}}","{methodDeps:{org.apache.derby.impl.store.raw.data.Derby5447:2}}"
36,groovy.servlet.Groovy6456,null,"{methodDeps:{groovy.servlet.Groovy6456$TestThread:1,groovy.servlet.TestConfig:1}}"
156,Test7045594,"{attrDeps:{RacingThreadsTest$DriverThread:4,RacingThreadsTest:1,RacingThreadsTest$WorkerThread:1,Test7045594$MyWorkerThread:1}}","{methodDeps:{RacingThreadsTest$DriverThread:1,RacingThreadsTest:1,Test7045594$MyWorkerThread:1}}"
120,Test44032,null,"{methodDeps:{Test44032$TestThread:1}}"
114,Test149,null,"{methodDeps:{Test149$TestThread1:1,Test149$DummyPoolableObjectFactory:1,Test149$TestThread2:1}}"
129,Test4813150,null,"{methodDeps:{Test4813150$BreakStringBuffer:1}}"
160,Test7122142$AnnA,null,null
80,org.apache.log4j.Test50463,null,"{methodDeps:{org.apache.log4j.Test50463$FillBufferThread:1,org.apache.log4j.Test50463$1:1}}"
40,groovy.util.Groovy6068$ThreadBuild,"{attrDeps:{groovy.util.Groovy6068:3}}","{methodDeps:{groovy.util.TestTask:1,groovy.util.Groovy6068:2}}"
100,org.codehaus.groovy.ast.Groovy4292,null,"{methodDeps:{org.codehaus.groovy.ast.Groovy4292$AsyncWeakRef:1}}"
137,Test6588239$Thread1,null,null
4,asm.AddGS2RMIConstructorVisitor,null,null
57,org.apache.commons.dbcp.Dbcp271$Read,"{attrDeps:{org.apache.commons.dbcp.Dbcp271:3}}","{methodDeps:{org.apache.commons.dbcp.Dbcp271:5}}"
87,org.apache.lucene.search.FieldCache$CacheEntry,"{attrDeps:{org.apache.lucene.search.FieldCache:2}}",null
179,testUtils.ActivationLibrary,"{attrDeps:{testUtils.RMID:3}}","{methodDeps:{testUtils.ActivationLibrary$DestroyThread:2,testUtils.TestLibrary:2,testUtils.RMID:1}}"
111,Test149$DummyPoolableObjectFactory,"{attrDeps:{Test149:3}}",null
118,Test4243978,null,"{methodDeps:{NumberedWeakReference:2}}"
141,Test6648001$Handler,null,null
65,org.apache.derby.client.ConnectionSetter,null,null
119,Test44032$TestThread,"{attrDeps:{Test44032:3}}","{methodDeps:{Test44032:2}}"
164,Test7132378$GetThread,"{attrDeps:{Test7132378$SettableTask:2}}",null
106,Test120$TestThread,"{attrDeps:{Test120:5}}","{methodDeps:{Test120:1}}"
79,org.apache.log4j.Test50463$FillBufferThread,"{attrDeps:{org.apache.log4j.Test50463:3}}","{methodDeps:{org.apache.log4j.Test50463:3}}"
48,Groovy4736,null,"{methodDeps:{Groovy4736$1:1,Groovy4736$2:1,Groovy4736$3:1}}"
54,org.apache.commons.dbcp.datasources.Dbcp369$2,null,"{methodDeps:{org.apache.commons.dbcp.datasources.Dbcp369$Datasource:1}}"
85,org.apache.lucene.index.Test2783$TimedThread,null,null
104,Test120$1,"{attrDeps:{Test120:2}}",null
171,Test8010939$SetupLogger,"{attrDeps:{Test8010939:2}}","{methodDeps:{Test8010939:2}}"
10,asm.LoggerModifier,null,"{methodDeps:{asm.SleepMVFactory:1}}"
116,Test162$WaitingTestThread,null,null
163,Test7122142,null,"{methodDeps:{Test7122142$Task:2}}"
177,testUtils.ActivatableImpl_Stub,"{attrDeps:{testUtils.MyRMI:1}}","{methodDeps:{testUtils.MyRMI:1}}"
17,com.main.RootLoggerThread,null,null
7,asm.AddSleepMethod2FutureTaskAdapter,null,null
107,Test120,null,"{methodDeps:{Test120$TestThread:2,Test120$SimpleFactory:3,Test120$1:1}}"
136,Test6582568,null,"{methodDeps:{Test6582568$1:1,Test6582568$2:1}}"
105,Test120$SimpleFactory,"{attrDeps:{Test120:4}}",null
109,Test146$SimpleTestThread,null,null
138,Test6588239$Thread2,null,null
33,Derby5561,null,"{methodDeps:{Derby5561$NativeRunnable:1,Derby5561$TestConnection:1,Derby5561$NullRunnable:1}}"
131,Test6436220,null,"{methodDeps:{Test6436220$TestThread:1}}"
96,org.apache.lucene.util.LuceneTestCase240,null,null
