Id,Name
83,org.apache.lucene.index.Test2783$MockIndexWriter
38,groovy.servlet.TestRequest
162,Test7122142$Task
142,Test6648001$MyAuthenticator
152,Test7045594$MyResources0
22,Dbcp65$Thread1
99,org.codehaus.groovy.ast.Groovy4292$AsyncWeakRef
37,groovy.servlet.TestConfig
50,MyObject
180,testUtils.JavaVM
58,org.apache.commons.dbcp.Dbcp271$Write
20,Dbcp270$Thread2
45,Groovy4736$1
135,Test6582568$2
121,Test4742723$1
14,com.b.AnException
69,org.apache.derby.impl.services.reflect.Derby764
43,Groovy3495$1
71,org.apache.derby.impl.store.raw.data.Derby5447$Thread2
103,RacingThreadsTest
32,Derby5561$TestConnection
159,Test7100996
92,org.apache.lucene.store.MockRAMInputStream
133,Test6492872
78,org.apache.log4j.Test50463$1
98,org.apache.lucene.util._TestUtil293
42,groovy.util.TestTask
161,Test7122142$AnnB
29,Derby5560
61,org.apache.commons.pool.Test46$Reader
76,org.apache.log4j.Test38137$MockEvent
86,org.apache.lucene.index.Test2783
23,Dbcp65$Thread2
19,Dbcp270$Thread1
46,Groovy4736$2
122,Test4742723$2
64,org.apache.commons.pool.TestBaseObjectPool
1,asm.ActivationModifier
127,Test4779253
145,Test6927486
3,asm.AddGS2NamingLookUpMV
108,Test146$SimpleFactory
147,Test6934356$TestThread
51,MyThread
63,org.apache.commons.pool.Test46
132,Test6492872$1
185,testUtils.TestLibrary$1
95,org.apache.lucene.util.English
126,Test4779253$WorkerThread2
11,asm.NamingMVFactory
154,Test7045594$MyResources2
184,testUtils.TestFailedException
66,org.apache.derby.impl.services.locks.LockOperator
158,Test7100996$2
47,Groovy4736$3
75,org.apache.log4j.Test38137$AppendThread
12,asm.SleepMVFactory
168,Test7132889$1
172,Test8010939
0,AnnoTest
176,testUtils.ActivatableImpl
13,com.a.AnObject
82,org.apache.lucene.index.Test2783$IndexerThread
124,Test4779253$1
174,Test8012019
25,Derby4129$1
186,testUtils.TestLibrary$2
15,com.c.AnObjectThread
125,Test4779253$WorkerThread1
59,org.apache.commons.dbcp.Dbcp271
90,org.apache.lucene.store.MockRAMDirectory$Failure
21,Dbcp270
153,Test7045594$MyResources1
9,asm.FutureTaskSleepFactory
31,Derby5561$NullRunnable
30,Derby5561$NativeRunnable
157,Test7100996$1
18,com.main.Test41214
134,Test6582568$1
148,Test6934356
187,testUtils.TestLibrary
175,Test8023541
70,org.apache.derby.impl.store.raw.data.Derby5447$Thread1
36,groovy.servlet.Groovy6456
156,Test7045594
120,Test44032
114,Test149
129,Test4813150
160,Test7122142$AnnA
80,org.apache.log4j.Test50463
40,groovy.util.Groovy6068$ThreadBuild
100,org.codehaus.groovy.ast.Groovy4292
137,Test6588239$Thread1
4,asm.AddGS2RMIConstructorVisitor
57,org.apache.commons.dbcp.Dbcp271$Read
87,org.apache.lucene.search.FieldCache$CacheEntry
179,testUtils.ActivationLibrary
111,Test149$DummyPoolableObjectFactory
118,Test4243978
141,Test6648001$Handler
65,org.apache.derby.client.ConnectionSetter
119,Test44032$TestThread
164,Test7132378$GetThread
106,Test120$TestThread
79,org.apache.log4j.Test50463$FillBufferThread
48,Groovy4736
54,org.apache.commons.dbcp.datasources.Dbcp369$2
85,org.apache.lucene.index.Test2783$TimedThread
104,Test120$1
171,Test8010939$SetupLogger
10,asm.LoggerModifier
116,Test162$WaitingTestThread
163,Test7122142
177,testUtils.ActivatableImpl_Stub
17,com.main.RootLoggerThread
7,asm.AddSleepMethod2FutureTaskAdapter
107,Test120
136,Test6582568
105,Test120$SimpleFactory
109,Test146$SimpleTestThread
138,Test6588239$Thread2
33,Derby5561
131,Test6436220
96,org.apache.lucene.util.LuceneTestCase240
139,Test6588239
72,org.apache.derby.impl.store.raw.data.Derby5447
101,RacingThreadsTest$DriverThread
