From,To,Type,Stype
33,30,1,As
127,126,1,As
139,138,1,As
68,69,1,As
182,187,1,As
48,46,1,As
79,80,1,As
92,91,2,Ag
80,78,1,As
128,129,1,As
86,82,1,As
182,180,3,I
148,147,1,As
103,155,4,Dy
30,33,1,As
72,70,1,As
31,33,1,As
139,137,1,As
71,72,1,As
67,69,1,As
166,165,1,As
113,114,2,Ag
48,47,1,As
86,98,1,As
18,17,1,As
176,179,1,As
188,187,1,As
61,63,1,As
156,155,4,Dy
35,38,1,As
86,83,1,As
119,120,1,As
145,51,1,As
157,159,1,As
56,55,1,As
12,6,1,As
159,158,1,As
175,176,4,Dy
36,35,1,As
69,67,1,As
144,141,1,As
124,127,2,Ag
70,72,1,As
112,114,2,Ag
78,80,2,Ag
75,76,1,As
24,22,1,As
131,130,1,As
129,128,1,As
114,112,1,As
86,91,1,As
144,140,1,As
35,36,1,As
69,68,1,As
97,88,1,As
82,95,1,As
110,108,1,As
156,155,1,As
48,45,1,As
82,85,3,I
1,11,1,As
53,55,1,As
94,98,1,As
24,23,1,As
145,50,1,As
179,182,1,As
41,40,1,As
114,113,1,As
76,77,2,Ag
163,162,1,As
158,159,2,Ag
86,84,1,As
130,131,1,As
136,135,1,As
156,102,1,As
178,182,1,As
179,178,1,As
148,146,1,As
86,97,3,I
123,121,1,As
59,58,1,As
54,55,1,As
100,99,1,As
73,74,1,As
101,156,4,Dy
40,41,1,As
159,157,1,As
29,65,1,As
103,102,1,As
80,79,1,As
136,134,1,As
2,4,1,As
187,184,1,As
117,115,1,As
175,181,1,As
155,156,4,Dy
107,105,1,As
175,179,1,As
16,14,1,As
103,101,1,As
63,62,1,As
62,63,1,As
69,66,1,As
156,103,3,I
111,114,2,Ag
18,15,1,As
15,13,1,As
179,187,1,As
172,170,1,As
176,181,3,I
33,31,1,As
178,179,1,As
169,168,1,As
57,59,1,As
24,60,1,As
167,164,1,As
33,32,1,As
171,172,1,As
127,125,1,As
170,172,1,As
156,101,1,As
58,59,1,As
72,71,1,As
172,171,1,As
63,64,1,As
43,44,1,As
125,127,1,As
127,124,1,As
110,109,1,As
86,89,1,As
177,181,3,I
93,91,1,As
40,42,1,As
132,133,1,As
83,86,1,As
102,103,1,As
115,117,2,Ag
104,107,2,Ag
133,132,1,As
37,39,1,As
45,48,1,As
10,12,1,As
94,89,1,As
11,3,1,As
77,75,1,As
19,21,1,As
29,27,1,As
59,57,1,As
28,29,1,As
84,85,3,I
101,103,1,As
91,92,1,As
32,33,1,As
36,37,1,As
46,48,1,As
56,53,1,As
182,179,1,As
22,24,1,As
97,81,1,As
75,77,1,As
29,28,1,As
18,16,1,As
117,116,1,As
120,119,1,As
9,7,1,As
180,187,1,As
126,127,1,As
47,48,1,As
53,56,1,As
56,54,1,As
23,24,1,As
123,122,1,As
86,95,1,As
91,90,1,As
175,177,4,Dy
155,103,1,As
175,187,1,As
118,52,1,As
174,173,1,As
26,25,1,As
187,185,1,As
107,106,1,As
175,182,1,As
150,151,2,Ag
68,66,1,As
21,20,1,As
114,111,1,As
151,149,1,As
187,186,1,As
1,2,1,As
107,104,1,As
149,151,2,Ag
44,43,1,As
9,2,3,I
144,143,1,As
173,174,1,As
21,19,1,As
144,142,1,As
151,150,1,As
87,88,2,Ag
1,9,4,Dy
102,156,4,Dy
8,9,1,As
106,107,1,As
2,5,1,As
180,183,1,As
90,91,1,As
105,107,2,Ag
63,61,1,As
20,21,1,As
27,29,1,As
91,93,1,As
167,166,1,As
94,96,3,I
155,102,3,I
164,166,2,Ag
74,73,1,As
