Id,Name,Set_of_Attrdeps,Set_of_Methoddeps
0,CardReaderInterface,"{attrDeps:{CheckpointController:12,CheckpointReferences:7}}","{methodDeps:{CheckpointController:2,CheckpointReferences:1}}"
18,SecurityZone,"{attrDeps:{Checkpoint:21,CreateZone:2}}","{methodDeps:{Checkpoint:4,CreateZone:2}}"
9,ControlCentre,"{attrDeps:{ControlCentreThread:1}}","{methodDeps:{ControlCentreThread:1}}"
3,CheckpointControllerIdleState,"{attrDeps:{PatrolSchedule:5,CheckpointController:12,CheckpointReferences:7,GuardDueTimer:6,GuardLateTimer:3,DoorLockInterface:5}}","{methodDeps:{PatrolSchedule:3,CheckpointController:6,CheckpointReferences:4,GuardDueTimer:2,GuardLateTimer:2,DoorLockInterface:3}}"
16,ScheduleEntry,"{attrDeps:{SecurityTime:11}}","{methodDeps:{SecurityTime:1}}"
5,CheckpointControllerState,"{attrDeps:{CheckpointController:12,CheckpointReferences:7}}",null
12,DoorLockInterface,"{attrDeps:{Checkpoint:21,CheckpointController:12,CheckpointReferences:7}}","{methodDeps:{Checkpoint:3,CheckpointController:2,CheckpointReferences:2}}"
17,SecurityTime,null,null
6,CheckpointControllerViolationCheckingState,"{attrDeps:{PatrolSchedule:5,CheckpointController:12,CheckpointReferences:7,GuardDueTimer:6,GuardLateTimer:3,DoorLockInterface:5}}","{methodDeps:{PatrolSchedule:2,CheckpointController:3,CheckpointReferences:4,GuardDueTimer:2,GuardLateTimer:2,DoorLockInterface:2}}"
8,CheckpointReferences,"{attrDeps:{CardReaderInterface:2,PatrolSchedule:5,Checkpoint:21,CheckpointController:12,GuardDueTimer:6,GuardLateTimer:3,DoorLockInterface:5}}","{methodDeps:{CardReaderInterface:1,PatrolSchedule:1,Checkpoint:1,CheckpointController:1,GuardDueTimer:1,GuardLateTimer:1,DoorLockInterface:1}}"
7,CheckpointControllerViolationState,"{attrDeps:{PatrolSchedule:5,CheckpointController:12,CheckpointReferences:7,GuardDueTimer:6,DoorLockInterface:5}}","{methodDeps:{PatrolSchedule:3,CheckpointController:6,CheckpointReferences:4,GuardDueTimer:2,DoorLockInterface:3}}"
11,CreateZone,"{attrDeps:{SecurityZone:5}}","{methodDeps:{SecurityZone:3}}"
14,GuardLateTimer,"{attrDeps:{CheckpointController:12,CheckpointReferences:17}}","{methodDeps:{CheckpointController:2,CheckpointReferences:1}}"
1,Checkpoint,"{attrDeps:{ScheduleEntry:4}}","{methodDeps:{ScheduleEntry:6}}"
2,CheckpointController,"{attrDeps:{CheckpointControllerNormalCheckingState:0,CheckpointReferences:7,CheckpointControllerViolationState:0,CheckpointControllerViolationCheckingState:0,CheckpointControllerIdleState:0}}","{methodDeps:{CheckpointControllerNormalCheckingState:1,CheckpointControllerViolationState:1,CheckpointControllerViolationCheckingState:1,CheckpointControllerIdleState:8}}"
4,CheckpointControllerNormalCheckingState,"{attrDeps:{PatrolSchedule:5,CheckpointController:12,CheckpointReferences:7,GuardDueTimer:6,GuardLateTimer:3,DoorLockInterface:5}}","{methodDeps:{PatrolSchedule:2,CheckpointController:3,CheckpointReferences:4,GuardDueTimer:2,GuardLateTimer:3,DoorLockInterface:2}}"
15,PatrolSchedule,"{attrDeps:{Checkpoint:21,CheckpointController:12,CheckpointReferences:7,SecurityTime:11}}","{methodDeps:{Checkpoint:2,CheckpointController:2,CheckpointReferences:2,SecurityTime:3}}"
13,GuardDueTimer,"{attrDeps:{PatrolSchedule:5,Checkpoint:21,CheckpointController:12,CheckpointReferences:7}}","{methodDeps:{PatrolSchedule:2,Checkpoint:2,CheckpointController:2,CheckpointReferences:3}}"
10,ControlCentreThread,null,null
