From,To,Type,Stype
2,7,4,Dy
2,3,4,Dy
4,15,1,As
4,5,3,I
2,4,4,Dy
1,0,2,Ag
1,8,2,Ag
13,17,2,Ag
6,5,3,I
15,16,2,Ag
18,11,1,As
7,8,1,As
3,12,1,As
5,8,1,As
6,8,1,As
7,12,1,As
6,15,1,As
1,2,2,Ag
4,8,1,As
8,1,1,As
4,2,1,As
1,12,2,Ag
11,18,1,As
15,1,1,As
8,13,1,As
2,3,3,I
2,7,1,As
4,12,1,As
18,1,1,As
5,2,1,As
8,12,1,As
15,2,1,As
3,5,3,I
2,6,1,As
4,14,1,As
8,14,1,As
9,10,1,As
0,2,1,As
12,8,1,As
2,5,2,Ag
1,13,2,Ag
6,2,1,As
1,15,2,Ag
8,15,1,As
4,13,1,As
2,8,1,As
3,13,1,As
3,14,1,As
14,2,1,As
8,0,1,As
2,6,4,Dy
1,14,2,Ag
6,14,1,As
3,2,1,As
7,13,1,As
6,13,1,As
13,8,1,As
8,2,1,As
1,16,1,As
14,8,1,As
12,1,1,As
0,8,1,As
3,15,1,As
7,2,1,As
7,15,1,As
2,4,1,As
6,12,1,As
7,5,3,I
13,2,1,As
12,2,1,As
15,17,1,As
3,8,1,As
13,15,1,As
13,1,1,As
15,8,1,As
16,17,1,As
