Id,Name,Set_of_Attrdeps,Set_of_Methoddeps
5,DefaultLogger,"{attrDeps:{Project:3,BuildEvent:5,BuildException:2}}","{methodDeps:{BuildEvent:3,BuildException:1}}"
11,Location,null,null
15,Project,"{attrDeps:{PathTokenizer:3,ProjectComponent:1,IntrospectionHelper:4,Task:1,XmlLogger:4,TaskAdapter:1,BuildEvent:5,UnknownElement:1,AntClassLoader:4,BuildException:2,BuildLogger:4}}","{methodDeps:{BuildListener:7,PathTokenizer:3,ProjectComponent:1,IntrospectionHelper:7,Task:1,XmlLogger:7,TaskAdapter:1,BuildEvent:5,UnknownElement:1,AntClassLoader:7,BuildException:2,BuildLogger:7}}"
8,FileScanner,null,null
23,UnknownElement,"{attrDeps:{Project:31,IntrospectionHelper:8,Target:1,TaskAdapter:1,RuntimeConfigurable:5,BuildException:2}}","{methodDeps:{Project:3,IntrospectionHelper:2,Target:1,TaskContainer:1,TaskAdapter:1,RuntimeConfigurable:3,BuildException:1}}"
18,RuntimeConfigurable,"{attrDeps:{Project:31,ProjectHelper:6,BuildException:2}}","{methodDeps:{Project:1,ProjectHelper:3}}"
0,AntClassLoader,"{attrDeps:{Project:31,BuildException:2}}","{methodDeps:{Project:4,BuildException:1}}"
10,Launcher,"{attrDeps:{AntClassLoader:15}}","{methodDeps:{AntClassLoader:4}}"
3,BuildListener,"{attrDeps:{BuildEvent:5}}","{methodDeps:{BuildEvent:3}}"
24,XmlLogger,"{attrDeps:{Project:3,Target:7,Task:6,TaskAdapter:6,BuildEvent:5,UnknownElement:6,BuildException:2}}","{methodDeps:{Target:1,Task:1,TaskAdapter:1,BuildEvent:9,UnknownElement:1,BuildException:1}}"
1,BuildEvent,"{attrDeps:{Project:31,Target:7,Task:6,TaskAdapter:6,UnknownElement:6}}","{methodDeps:{Project:1,Target:1,TaskAdapter:6,UnknownElement:6}}"
13,NoBannerLogger,"{attrDeps:{BuildEvent:5}}","{methodDeps:{BuildEvent:4}}"
9,IntrospectionHelper,"{attrDeps:{Project:31,Target:1,TaskAdapter:7,UnknownElement:1}}","{methodDeps:{Project:3,Target:1,TaskAdapter:7,UnknownElement:1}}"
19,Target,"{attrDeps:{Project:31,ProjectHelper:6,TaskAdapter:1,RuntimeConfigurable:5,UnknownElement:1,BuildException:2}}","{methodDeps:{Project:5,ProjectHelper:1,TaskAdapter:1,RuntimeConfigurable:2,UnknownElement:1,BuildException:1}}"
14,PathTokenizer,null,null
22,TaskContainer,"{attrDeps:{Task:6,TaskAdapter:6,UnknownElement:6}}","{methodDeps:{TaskAdapter:6,UnknownElement:6}}"
21,TaskAdapter,"{attrDeps:{Project:31,BuildException:2}}","{methodDeps:{Project:1,BuildException:2}}"
12,Main,"{attrDeps:{Project:31,ProjectHelper:6,IntrospectionHelper:0,Target:7,XmlLogger:1,AntClassLoader:1,BuildException:2,DefaultLogger:7,BuildLogger:7}}","{methodDeps:{Project:11,BuildListener:4,ProjectHelper:1,IntrospectionHelper:4,Target:2,XmlLogger:4,AntClassLoader:4,BuildException:2,DefaultLogger:7,BuildLogger:4}}"
6,DemuxOutputStream,"{attrDeps:{Project:31}}","{methodDeps:{Project:2}}"
7,DirectoryScanner,"{attrDeps:{BuildException:2}}","{methodDeps:{BuildException:1}}"
16,ProjectComponent,"{attrDeps:{Project:31}}","{methodDeps:{Project:2}}"
17,ProjectHelper,"{attrDeps:{Project:31,IntrospectionHelper:8,Target:1,Task:6,TaskAdapter:6,RuntimeConfigurable:5,UnknownElement:6,BuildException:2,Location:3}}","{methodDeps:{Project:14,IntrospectionHelper:6,Target:1,Task:6,TaskContainer:1,TaskAdapter:6,RuntimeConfigurable:4,UnknownElement:6,BuildException:7,Location:1}}"
20,Task,"{attrDeps:{Project:31,Target:7,RuntimeConfigurable:5,BuildException:2,Location:3}}","{methodDeps:{Project:4,RuntimeConfigurable:2,BuildException:3,Location:1}}"
4,BuildLogger,null,null
2,BuildException,"{attrDeps:{Location:3}}","{methodDeps:{Location:2}}"
