From,To,Type,Stype
17,9,1,As
17,20,1,As
15,24,4,Dy
18,15,1,As
18,2,1,As
9,3,3,I
5,4,3,I
0,3,3,I
15,20,4,Dy
17,2,1,As
17,15,1,As
21,2,1,As
9,15,1,As
9,2,1,As
23,22,1,As
24,20,1,As
15,9,4,Dy
24,2,1,As
12,19,1,As
12,9,4,Dy
15,19,2,Ag
23,19,4,Dy
1,21,4,Dy
0,2,1,As
15,20,1,As
20,16,3,I
19,23,4,Dy
12,4,1,As
12,17,1,As
24,19,1,As
15,16,1,As
17,19,1,As
5,2,1,As
15,3,1,As
15,21,4,Dy
9,20,1,As
17,21,1,As
20,19,1,As
15,0,4,Dy
6,15,1,As
12,15,1,As
21,15,1,As
9,11,1,As
19,2,1,As
19,15,1,As
19,17,1,As
1,19,1,As
23,9,1,As
23,20,3,I
10,0,1,As
12,2,1,As
22,20,1,As
21,20,3,I
22,21,4,Dy
23,15,1,As
15,23,4,Dy
9,23,4,Dy
23,2,1,As
13,1,1,As
4,3,3,I
15,1,1,As
20,11,1,As
1,15,1,As
20,15,1,As
12,4,4,Dy
24,21,4,Dy
20,2,1,As
17,23,1,As
9,19,4,Dy
9,21,4,Dy
23,21,1,As
17,19,4,Dy
7,8,3,I
19,20,2,Ag
17,22,1,As
17,21,4,Dy
1,20,1,As
18,17,1,As
24,3,3,I
12,5,4,Dy
23,18,1,As
5,15,1,As
3,1,1,As
0,15,1,As
24,23,4,Dy
19,22,3,I
2,11,1,As
9,22,1,As
20,18,1,As
15,4,4,Dy
17,18,1,As
17,23,4,Dy
12,3,1,As
15,14,1,As
24,1,1,As
13,5,3,I
19,18,1,As
1,23,4,Dy
22,23,4,Dy
12,0,4,Dy
15,2,1,As
7,2,1,As
17,11,1,As
19,21,4,Dy
19,23,1,As
15,21,1,As
5,1,1,As
24,15,1,As
12,24,4,Dy
16,15,1,As
