Id,Name,Set_of_Attrdeps,Set_of_Methoddeps
14,DaisyUserThread,"{attrDeps:{daisy.FileHandle:3}}","{methodDeps:{daisy.FileHandle:1,gov.nasa.jpf.jvm.Verify:16,daisy.DaisyDir:7,daisy.Attribute:2,DaisyTest:1}}"
8,daisy.Inode,null,null
13,DaisyTest,null,"{methodDeps:{daisy.FileHandle:3,daisy.Petal:1,gov.nasa.jpf.jvm.Verify:2,daisy.DaisyDir:2,DaisyUserThread:2}}"
20,util.ShutDown,null,null
1,daisy.Daisy,"{attrDeps:{daisy.Inode:8,daisy.Attribute:4}}","{methodDeps:{daisy.Inode:2,daisy.DaisyDisk:10,daisy.DaisyLock:22}}"
5,daisy.Directory,"{attrDeps:{daisy.FileHandle:1}}",null
17,util.Debug,null,"{methodDeps:{util.Assert:2,util.Utility:1,util.SplitPrintStream:2}}"
11,daisy.Petal,null,"{methodDeps:{daisy.Daisy:1}}"
0,daisy.Attribute,null,null
6,daisy.DirectoryEntry,null,null
22,util.Utility,null,"{methodDeps:{util.Assert:3}}"
16,util.Assert,null,"{methodDeps:{util.ShutDown:3,util.Debug:2}}"
4,daisy.DaisyLock,null,"{methodDeps:{daisy.LockManager:6}}"
9,daisy.LockManager,"{attrDeps:{daisy.Mutex:1}}","{methodDeps:{daisy.Mutex:6}}"
12,daisy.Utility,null,null
15,gov.nasa.jpf.jvm.Verify,null,null
18,util.Log$LogInfo,null,null
19,util.Log,null,"{methodDeps:{util.Assert:3,util.Log$LogInfo:1,util.Debug:2}}"
3,daisy.DaisyDisk,"{attrDeps:{daisy.Inode:2}}","{methodDeps:{daisy.Petal:11}}"
7,daisy.FileHandle,null,null
21,util.SplitPrintStream,null,null
10,daisy.Mutex,null,null
2,daisy.DaisyDir,"{attrDeps:{daisy.FileHandle:11,daisy.Directory:2,daisy.Attribute:2}}","{methodDeps:{daisy.DirectoryEntry:2,daisy.Utility:2,daisy.Directory:4,daisy.Daisy:9,daisy.DaisyLock:3,daisy.Attribute:1}}"
