Id,Name,Set_of_Attrdeps,Set_of_Methoddeps
7,DEOS.DEOSKernel,"{attrDeps:{DEOS.Thread:3}}","{methodDeps:{DEOS.StartOfPeriodEvent:1,DEOS.Scheduler:5,DEOS.DEOSProcess:1,DEOS.CPU:6,DEOS.Thread:6}}"
23,DEOS.Timer,null,"{methodDeps:{gov.nasa.jpf.jvm.Verify:2,DEOS.DEOS:2}}"
18,DEOS.StartOfPeriodEvent,"{attrDeps:{DEOS.threadList:1,DEOS.Thread:1}}","{methodDeps:{DEOS.Scheduler:1,DEOS.PriorityListOfThreads:1,DEOS.Registry:1,DEOS.threadList:2}}"
2,DEOS.Budget,null,"{methodDeps:{DEOS.Clock:2,DEOS.NewTimer:1}}"
20,DEOS.Thread,"{attrDeps:{DEOS.threadListNode:3,DEOS.StartOfPeriodEvent:1,DEOS.DEOSThread:2,DEOS.Budget:3,DEOS.DEOSIdleThread:2,DEOS.DEOSMainThread:2}}","{methodDeps:{DEOS.threadListNode:3,DEOS.Scheduler:6,DEOS.StartOfPeriodEvent:8,DEOS.Clock:1,DEOS.DEOSThread:1,DEOS.Budget:13,DEOS.Assertion:3,DEOS.DEOSProcess:1,DEOS.CPU:2,DEOS.DEOSMainThread:1,DEOS.DEOSIdleThread:1,DEOS.NewTimer:1}}"
0,DEOS.AbstractClockingDevice,null,null
1,DEOS.Assertion,"{attrDeps:{DEOS.Thread:2}}","{methodDeps:{DEOS.Scheduler:3,DEOS.StartOfPeriodEvent:5,DEOS.PeriodicClock:1,DEOS.Budget:5,DEOS.DEOS:1}}"
6,DEOS.DEOSIdleThread,"{attrDeps:{DEOS.DEOSThread:1,DEOS.Thread:1}}","{methodDeps:{DEOS.DEOSThread:1}}"
22,DEOS.threadListNode,"{attrDeps:{DEOS.DoubleLinkListNode:1,DEOS.Thread:3}}","{methodDeps:{DEOS.DoubleLinkListNode:1}}"
15,DEOS.ProcessConstraint,null,"{methodDeps:{DEOS.Registry:3}}"
5,DEOS.DEOS,"{attrDeps:{DEOS.PeriodicClock:1,DEOS.Clock:1,DEOS.DEOSIdleThread:2,DEOS.DEOSMainThread:1,DEOS.NewTimer:1}}","{methodDeps:{DEOS.Scheduler:2,DEOS.PeriodicClock:1,DEOS.Clock:3,DEOS.DEOSThread:1,gov.nasa.jpf.jvm.Verify:1,DEOS.Thread:2,DEOS.DEOSIdleThread:1,DEOS.DEOSMainThread:1,DEOS.NewTimer:1,DEOS.DEOSKernel:3}}"
17,DEOS.Scheduler,"{attrDeps:{DEOS.threadListNode:0,DEOS.PriorityListOfThreads:2,DEOS.SynchObject:1,DEOS.DEOSProcess:2,DEOS.threadList:2,DEOS.Thread:4}}","{methodDeps:{DEOS.threadListNode:2,DEOS.DoubleLinkListNode:2,DEOS.StartOfPeriodEvent:2,DEOS.PriorityListOfThreads:5,DEOS.Registry:1,DEOS.SynchObject:1,DEOS.Budget:1,DEOS.DEOSProcess:2,DEOS.CPU:2,DEOS.threadList:2,DEOS.Thread:15,DEOS.DEOSKernel:1}}"
16,DEOS.Registry,null,null
10,DEOS.DEOSThread,"{attrDeps:{DEOS.Thread:2}}","{methodDeps:{DEOS.Scheduler:2,DEOS.PeriodicClock:1,gov.nasa.jpf.jvm.Verify:2,DEOS.DEOS:13,DEOS.Thread:10,DEOS.DEOSKernel:4}}"
4,DEOS.CPU,null,null
24,gov.nasa.jpf.jvm.Verify,null,null
19,DEOS.SynchObject,null,null
9,DEOS.DEOSProcess,"{attrDeps:{DEOS.ProcessConstraint:1,DEOS.Thread:4}}","{methodDeps:{DEOS.ProcessConstraint:5,DEOS.Thread:10}}"
12,DEOS.NewTimer,"{attrDeps:{DEOS.AbstractClockingDevice:1}}","{methodDeps:{DEOS.AbstractClockingDevice:1}}"
3,DEOS.Clock,"{attrDeps:{DEOS.PeriodicClock:2,DEOS.NewTimer:2}}","{methodDeps:{DEOS.PeriodicClock:4,gov.nasa.jpf.jvm.Verify:1,DEOS.NewTimer:6}}"
13,DEOS.PeriodicClock,null,null
8,DEOS.DEOSMainThread,"{attrDeps:{DEOS.DEOSThread:1,DEOS.Thread:1}}","{methodDeps:{DEOS.DEOSThread:1,gov.nasa.jpf.jvm.Verify:1,DEOS.DEOS:6,DEOS.Thread:2,DEOS.DEOSKernel:2}}"
21,DEOS.threadList,"{attrDeps:{DEOS.DoubleLinkListNode:1,DEOS.threadListNode:4}}","{methodDeps:{DEOS.DoubleLinkListNode:1}}"
14,DEOS.PriorityListOfThreads,"{attrDeps:{DEOS.threadListNode:3,DEOS.threadList:2}}","{methodDeps:{DEOS.threadListNode:3,DEOS.threadList:10,DEOS.Thread:3}}"
11,DEOS.DoubleLinkListNode,null,null
