From,To,Type,Stype
17,22,1,As
17,11,1,As
5,13,1,As
20,9,1,As
21,22,2,Ag
7,9,1,As
22,11,3,I
5,20,1,As
23,5,1,As
8,10,3,I
20,12,1,As
1,13,1,As
14,22,1,As
6,20,1,As
17,7,1,As
20,10,1,As
17,9,1,As
7,18,1,As
20,1,1,As
2,3,1,As
18,14,1,As
5,3,1,As
17,20,1,As
18,20,1,As
20,18,1,As
5,6,4,Dy
18,21,1,As
8,24,1,As
20,8,1,As
8,20,1,As
17,2,1,As
15,16,1,As
21,11,3,I
1,18,1,As
10,20,1,As
1,5,1,As
5,10,1,As
9,20,1,As
22,20,2,Ag
7,4,1,As
20,4,1,As
10,17,1,As
20,8,4,Dy
9,15,1,As
20,17,1,As
18,16,1,As
18,17,1,As
5,24,1,As
7,17,1,As
17,4,1,As
20,6,4,Dy
8,7,1,As
10,24,1,As
17,16,1,As
20,3,1,As
5,17,1,As
5,8,4,Dy
14,21,1,As
14,20,1,As
17,14,1,As
20,2,1,As
23,24,1,As
1,20,2,Ag
17,22,4,Dy
3,13,1,As
10,5,1,As
17,19,1,As
6,10,3,I
2,12,1,As
17,18,1,As
12,0,3,I
5,12,1,As
1,2,1,As
20,6,1,As
20,22,1,As
5,7,1,As
3,12,1,As
7,20,1,As
8,5,1,As
17,21,4,Dy
3,24,1,As
1,17,1,As
10,7,1,As
10,13,1,As
