Id,Name,Set_of_Attrdeps,Set_of_Methoddeps
8,EmailSystem.Client,"{attrDeps:{EmailSystem.Email:22}}","{methodDeps:{EmailSystem.Email:24,EmailSystem.Client$AddressBookEntry:6,EmailSystem.Util:7,tests.EmailTEST:7,EmailSystem.Client$KeyringEntry:3}}"
10,EmailSystem.Util,null,null
33,TestSpecifications.Specification7,null,"{methodDeps:{TestSpecifications.SpecificationException:1}}"
25,tests.EmailRUN,null,"{methodDeps:{runspl.RunSPL:1}}"
36,TestSpecifications.SpecificationManager,"{attrDeps:{TestSpecifications.Specification11:1,TestSpecifications.Specification7:1,TestSpecifications.Specification1_8:1,TestSpecifications.Specification9:1,TestSpecifications.Specification3:1,TestSpecifications.Specification4:1,TestSpecifications.Specification27:1,TestSpecifications.Specification6:1}}","{methodDeps:{TestSpecifications.Specification11:1,TestSpecifications.Specification7:1,TestSpecifications.Specification1_8:1,TestSpecifications.Specification9:1,TestSpecifications.Specification3:1,TestSpecifications.Specification4:1,TestSpecifications.Specification27:1,TestSpecifications.Specification6:1,tests.EmailTEST:4}}"
38,verificationClasses.SPLModelChecker,null,null
2,defpackage.PL_Interface,null,null
0,defpackage.JPF_PrimitiveLogListener_Lifted,null,null
21,featuremodel.RelevantModelIterator,null,null
3,defpackage.PL_Interface_impl,"{attrDeps:{defpackage.PL_Interface:1}}","{methodDeps:{TestSpecifications.SpecificationManager:1,defpackage.PL_Interface:1,defpackage.Test_Actions:40}}"
19,featuremodel.FeatureValue,null,null
15,featuremodel.Constraint,null,null
23,runspl.JavaUtility,null,null
6,EmailSystem.Client$AddressBookEntry,null,null
16,featuremodel.FeatureID,null,null
5,defpackage.Test_Actions,"{attrDeps:{EmailSystem.Client:12}}","{methodDeps:{TestSpecifications.SpecificationManager:1,EmailSystem.Client:38,EmailSystem.Util:4,tests.EmailTEST:15}}"
4,defpackage.Scenario,null,"{methodDeps:{defpackage.Test_Actions:4}}"
30,TestSpecifications.Specification3,"{attrDeps:{EmailSystem.Email:2}}","{methodDeps:{TestSpecifications.SpecificationException:1,EmailSystem.Client:1}}"
1,defpackage.MaxStateIDListener,null,null
20,featuremodel.Proposition,null,null
22,featuremodel.UnaryProposition,"{attrDeps:{featuremodel.Proposition:1}}","{methodDeps:{featuremodel.Proposition:1}}"
28,TestSpecifications.Specification1_8,"{attrDeps:{EmailSystem.Email:1}}","{methodDeps:{TestSpecifications.SpecificationException:2}}"
9,EmailSystem.Email,"{attrDeps:{EmailSystem.Client:4}}","{methodDeps:{EmailSystem.Client:1,tests.EmailTEST:4,EmailSystem.Util:10}}"
17,featuremodel.FeatureModel,"{attrDeps:{featuremodel.FeatureValue:1}}","{methodDeps:{featuremodel.Configuration:2,runspl.JavaUtility:1,featuremodel.RelevantModelIterator:1}}"
26,tests.EmailTEST,"{attrDeps:{defpackage.PL_Interface_impl:0}}","{methodDeps:{runspl.RunSPL:1,defpackage.PL_Interface:2,EmailSystem.Client:6,defpackage.PL_Interface_impl:2}}"
12,featuremodel.CompoundProposition,"{attrDeps:{featuremodel.Proposition:1}}","{methodDeps:{featuremodel.Proposition:1}}"
7,EmailSystem.Client$KeyringEntry,"{attrDeps:{EmailSystem.Client:3}}",null
32,TestSpecifications.Specification6,"{attrDeps:{EmailSystem.Email:2}}","{methodDeps:{TestSpecifications.SpecificationException:1,EmailSystem.Client:1}}"
34,TestSpecifications.Specification9,"{attrDeps:{EmailSystem.Email:2}}","{methodDeps:{TestSpecifications.SpecificationException:1}}"
29,TestSpecifications.Specification27,null,"{methodDeps:{TestSpecifications.SpecificationException:1}}"
13,featuremodel.Configuration$1,"{attrDeps:{featuremodel.Configuration:2}}","{methodDeps:{featuremodel.Configuration:2}}"
35,TestSpecifications.SpecificationException,null,null
37,verificationClasses.FeatureSwitches,null,null
14,featuremodel.Configuration,"{attrDeps:{featuremodel.FeatureValue:2}}","{methodDeps:{featuremodel.FeatureValue:1,featuremodel.Configuration$1:1}}"
18,featuremodel.FeatureModelBuilder,null,"{methodDeps:{featuremodel.FeatureID:1,runspl.JavaUtility:2}}"
11,featuremodel.BinaryProposition,"{attrDeps:{featuremodel.Proposition:1}}","{methodDeps:{featuremodel.Proposition:1}}"
27,TestSpecifications.Specification11,null,"{methodDeps:{TestSpecifications.SpecificationException:1}}"
31,TestSpecifications.Specification4,null,"{methodDeps:{TestSpecifications.SpecificationException:1,EmailSystem.Client:1}}"
24,runspl.RunSPL,"{attrDeps:{featuremodel.FeatureModel:1,featuremodel.Configuration:1}}","{methodDeps:{featuremodel.FeatureModel:3,featuremodel.FeatureValue:1,featuremodel.FeatureModelBuilder:2,featuremodel.Configuration:3,runspl.JavaUtility:2}}"
