From,To,Type,Stype
5,8,1,As
8,6,1,As
36,31,1,As
22,20,3,I
31,35,1,As
34,9,2,Ag
32,9,2,Ag
36,27,1,As
30,9,2,Ag
24,23,1,As
36,34,1,As
3,36,1,As
36,30,1,As
36,26,1,As
9,8,1,As
36,29,1,As
4,5,1,As
12,20,3,I
8,26,1,As
30,35,1,As
14,19,1,As
26,2,1,As
8,10,1,As
17,23,1,As
26,8,1,As
26,3,4,Dy
24,18,1,As
27,35,1,As
24,14,1,As
9,26,1,As
13,14,1,As
36,33,1,As
3,5,1,As
25,24,1,As
5,10,1,As
5,36,1,As
18,16,1,As
30,8,1,As
32,8,1,As
18,23,1,As
32,35,1,As
34,35,1,As
11,20,3,I
17,14,1,As
5,26,1,As
29,35,1,As
17,21,1,As
9,10,1,As
36,32,1,As
28,9,1,As
26,3,1,As
17,19,1,As
24,17,1,As
31,8,1,As
3,2,3,I
24,19,1,As
7,8,2,Ag
28,35,1,As
33,35,1,As
14,13,1,As
8,7,1,As
8,9,1,As
26,24,1,As
36,28,1,As
