Id,Name,Set_of_Attrdeps,Set_of_Methoddeps
23,management.j2ee.J2EEResourceMBean,null,null
50,management.j2ee.ResourceAdapter,"{attrDeps:{management.j2ee.J2EEManagedObject:1,management.j2ee.ResourceAdapterMBean:1}}","{methodDeps:{management.j2ee.J2EEManagedObject:1,management.j2ee.ResourceAdapterMBean:1}}"
40,management.j2ee.JMSResource,"{attrDeps:{management.j2ee.J2EEServer:5,management.j2ee.EJB:5,management.j2ee.JMSResourceMBean:1,management.j2ee.JVM:5,management.j2ee.J2EEDeployedObject:5,management.j2ee.JDBCDataSource:5,management.j2ee.J2EEDomainTarget:5,management.j2ee.Servlet:5,management.j2ee.ResourceAdapter:5,management.j2ee.JCAConnectionFactory:5,management.j2ee.JCAManagedConnectionFactory:5,management.j2ee.J2EEResource:5,management.j2ee.StateManagement:1,management.j2ee.JDBCDriver:5,management.j2ee.J2EEDomain:5}}","{methodDeps:{management.j2ee.J2EEServer:4,management.j2ee.EJB:4,management.j2ee.JMSResourceMBean:1,management.j2ee.JVM:4,management.j2ee.J2EEDeployedObject:4,management.j2ee.JDBCDataSource:4,management.j2ee.J2EEDomainTarget:4,management.j2ee.Servlet:4,management.j2ee.ResourceAdapter:4,management.j2ee.JCAConnectionFactory:4,management.j2ee.JCAManagedConnectionFactory:4,management.j2ee.J2EEResource:4,management.j2ee.J2EEManagedObject:4,management.j2ee.StateManagement:3,management.j2ee.JDBCDriver:4,management.j2ee.J2EEDomain:4}}"
43,management.j2ee.JNDIResourceMBean,null,null
5,management.j2ee.EJBModule,"{attrDeps:{management.j2ee.J2EEServer:5,management.j2ee.EJB:5,management.j2ee.JVM:5,management.j2ee.J2EEDeployedObject:5,management.j2ee.JDBCDataSource:5,management.j2ee.J2EEDomainTarget:5,management.j2ee.Servlet:5,management.j2ee.ResourceAdapter:5,management.j2ee.JCAConnectionFactory:5,management.j2ee.JCAManagedConnectionFactory:5,management.j2ee.J2EEResource:5,management.j2ee.J2EEApplication:5,management.j2ee.EJBModuleMBean:1,management.j2ee.StateManagement:1,management.j2ee.J2EEModule:5,management.j2ee.JDBCDriver:5,management.j2ee.J2EEDomain:5}}","{methodDeps:{management.j2ee.J2EEServer:5,management.j2ee.EJB:5,management.j2ee.JVM:5,management.j2ee.J2EEDeployedObject:5,management.j2ee.JDBCDataSource:5,management.j2ee.J2EEDomainTarget:5,management.j2ee.Servlet:5,management.j2ee.ResourceAdapter:5,management.j2ee.JCAConnectionFactory:5,management.j2ee.JCAManagedConnectionFactory:5,management.j2ee.J2EEResource:5,management.j2ee.J2EEManagedObject:5,management.j2ee.J2EEApplication:5,management.j2ee.EJBModuleMBean:1,management.j2ee.StateManagement:3,management.j2ee.J2EEModule:5,management.j2ee.JDBCDriver:5,management.j2ee.J2EEDomain:5}}"
83,management.mejb.PollingClientNotificationListener,"{attrDeps:{management.mejb.ClientNotificationListener:1}}","{methodDeps:{management.mejb.ClientNotificationListener:1}}"
12,management.j2ee.J2EEApplicationMBean,null,null
72,management.j2ee.WebModule,"{attrDeps:{management.j2ee.J2EEApplication:4,management.j2ee.WebModuleMBean:1,management.j2ee.J2EEModule:1}}","{methodDeps:{management.j2ee.J2EEApplication:1,management.j2ee.J2EEDeployedObject:1,management.j2ee.WebModuleMBean:1,management.j2ee.J2EEModule:1}}"
26,management.j2ee.JavaMailResource,"{attrDeps:{management.j2ee.JavaMailResourceMBean:1,management.j2ee.J2EEServer:5,management.j2ee.EJB:5,management.j2ee.JVM:5,management.j2ee.J2EEDeployedObject:5,management.j2ee.JDBCDataSource:5,management.j2ee.J2EEDomainTarget:5,management.j2ee.Servlet:5,management.j2ee.ResourceAdapter:5,management.j2ee.JCAConnectionFactory:5,management.j2ee.JCAManagedConnectionFactory:5,management.j2ee.J2EEResource:5,management.j2ee.StateManagement:1,management.j2ee.JDBCDriver:5,management.j2ee.J2EEDomain:5}}","{methodDeps:{management.j2ee.JavaMailResourceMBean:1,management.j2ee.J2EEServer:2,management.j2ee.EJB:2,management.j2ee.JVM:2,management.j2ee.J2EEDeployedObject:2,management.j2ee.JDBCDataSource:2,management.j2ee.J2EEDomainTarget:2,management.j2ee.Servlet:2,management.j2ee.ResourceAdapter:2,management.j2ee.JCAConnectionFactory:2,management.j2ee.JCAManagedConnectionFactory:2,management.j2ee.J2EEResource:2,management.j2ee.J2EEManagedObject:2,management.j2ee.StateManagement:3,management.j2ee.JDBCDriver:2,management.j2ee.J2EEDomain:2}}"
68,management.j2ee.StatisticsProvider,null,null
84,management.mejb.PollingNotificationListener,"{attrDeps:{management.mejb.PollingNotificationListenerMBean:1}}","{methodDeps:{management.mejb.PollingNotificationListenerMBean:1}}"
66,management.j2ee.StateManagement,"{attrDeps:{management.j2ee.J2EEServer:2,management.j2ee.EJB:2,management.j2ee.JVM:2,management.j2ee.J2EEDeployedObject:2,management.j2ee.JDBCDataSource:2,management.j2ee.J2EEDomainTarget:2,management.j2ee.Servlet:2,management.j2ee.ResourceAdapter:2,management.j2ee.JCAConnectionFactory:2,management.j2ee.JCAManagedConnectionFactory:2,management.j2ee.J2EEResource:2,management.j2ee.J2EEManagedObject:2,management.j2ee.JDBCDriver:2,management.j2ee.J2EEDomain:2}}","{methodDeps:{management.j2ee.J2EEServer:2,management.j2ee.EJB:2,management.j2ee.JVM:2,management.j2ee.J2EEDeployedObject:2,management.j2ee.JDBCDataSource:2,management.j2ee.J2EEDomainTarget:2,management.j2ee.Servlet:2,management.j2ee.ResourceAdapter:2,management.j2ee.JCAConnectionFactory:2,management.j2ee.JCAManagedConnectionFactory:2,management.j2ee.J2EEResource:2,management.j2ee.JDBCDriver:2,management.j2ee.J2EEDomain:2}}"
10,management.j2ee.InvalidParentException,"{attrDeps:{management.j2ee.WrapperException:1}}","{methodDeps:{management.j2ee.WrapperException:1}}"
44,management.j2ee.JTAResource,"{attrDeps:{management.j2ee.J2EEServer:0,management.j2ee.EJB:4,management.j2ee.JVM:1,management.j2ee.J2EEDeployedObject:4,management.j2ee.JDBCDataSource:4,management.j2ee.J2EEDomainTarget:4,management.j2ee.Servlet:4,management.j2ee.ResourceAdapter:4,management.j2ee.JCAConnectionFactory:4,management.j2ee.JTAResourceMBean:1,management.j2ee.JCAManagedConnectionFactory:1,management.j2ee.J2EEResource:4,management.j2ee.StateManagement:1,management.j2ee.JDBCDriver:6,management.j2ee.J2EEDomain:6}}","{methodDeps:{management.j2ee.J2EEServer:4,management.j2ee.EJB:4,management.j2ee.JVM:4,management.j2ee.J2EEDeployedObject:4,management.j2ee.JDBCDataSource:4,management.j2ee.J2EEDomainTarget:4,management.j2ee.Servlet:4,management.j2ee.ResourceAdapter:4,management.j2ee.JCAConnectionFactory:4,management.j2ee.JTAResourceMBean:1,management.j2ee.JCAManagedConnectionFactory:4,management.j2ee.J2EEResource:4,management.j2ee.J2EEManagedObject:4,management.j2ee.StateManagement:3,management.j2ee.JDBCDriver:4,management.j2ee.J2EEDomain:4}}"
69,management.j2ee.TimeStatistic,"{attrDeps:{management.j2ee.Statistic:1}}","{methodDeps:{management.j2ee.Statistic:1}}"
42,management.j2ee.JNDIResource,"{attrDeps:{management.j2ee.J2EEServer:2,management.j2ee.EJB:2,management.j2ee.JVM:2,management.j2ee.J2EEDeployedObject:2,management.j2ee.JDBCDataSource:2,management.j2ee.J2EEDomainTarget:2,management.j2ee.JNDIResourceMBean:1,management.j2ee.Servlet:2,management.j2ee.ResourceAdapter:2,management.j2ee.JCAConnectionFactory:2,management.j2ee.JCAManagedConnectionFactory:2,management.j2ee.J2EEResource:2,management.j2ee.StateManagement:1,management.j2ee.JDBCDriver:2,management.j2ee.J2EEDomain:2}}","{methodDeps:{management.j2ee.J2EEServer:4,management.j2ee.EJB:4,management.j2ee.JVM:4,management.j2ee.J2EEDeployedObject:4,management.j2ee.JDBCDataSource:4,management.j2ee.J2EEDomainTarget:4,management.j2ee.JNDIResourceMBean:1,management.j2ee.Servlet:4,management.j2ee.ResourceAdapter:4,management.j2ee.JCAConnectionFactory:4,management.j2ee.JCAManagedConnectionFactory:4,management.j2ee.J2EEResource:4,management.j2ee.J2EEManagedObject:4,management.j2ee.StateManagement:3,management.j2ee.JDBCDriver:4,management.j2ee.J2EEDomain:4}}"
46,management.j2ee.JVM,"{attrDeps:{management.j2ee.J2EEManagedObject:1,management.j2ee.JVMMBean:1}}","{methodDeps:{management.j2ee.J2EEManagedObject:1,management.j2ee.JVMMBean:1}}"
3,management.j2ee.EJB,"{attrDeps:{management.j2ee.EJBMBean:1,management.j2ee.J2EEManagedObject:1}}","{methodDeps:{management.j2ee.EJBMBean:1,management.j2ee.J2EEManagedObject:1}}"
16,management.j2ee.J2EEDomainMBean,null,null
17,management.j2ee.J2EEDomainTarget,"{attrDeps:{management.j2ee.J2EEManagedObject:1}}","{methodDeps:{management.j2ee.J2EEManagedObject:1}}"
19,management.j2ee.J2EEManagedObjectMBean,null,null
9,management.j2ee.EventProvider,null,null
63,management.j2ee.StatelessSessionBean,"{attrDeps:{management.j2ee.SessionBean:1,management.j2ee.StatelessSessionBeanMBean:1}}","{methodDeps:{management.j2ee.SessionBean:1,management.j2ee.StatelessSessionBeanMBean:1}}"
77,management.mejb.JMSNotificationListener,"{attrDeps:{management.mejb.JMSNotificationListenerMBean:1}}","{methodDeps:{management.mejb.JMSNotificationListenerMBean:1}}"
88,management.mejb.RMINotificationListener,"{attrDeps:{management.mejb.RMIClientNotificationListenerInterface:2,management.mejb.RMINotificationListenerMBean:1}}","{methodDeps:{management.mejb.RMIClientNotificationListenerInterface:1,management.mejb.RMINotificationListenerMBean:1}}"
48,management.j2ee.MessageDrivenBean,"{attrDeps:{management.j2ee.MessageDrivenBeanMBean:1,management.j2ee.EJB:1}}","{methodDeps:{management.j2ee.MessageDrivenBeanMBean:1,management.j2ee.EJB:1}}"
85,management.mejb.PollingNotificationListenerMBean,"{attrDeps:{management.mejb.ListenerMBean:1}}","{methodDeps:{management.mejb.ListenerMBean:1}}"
52,management.j2ee.ResourceAdapterModule,"{attrDeps:{management.j2ee.J2EEServer:4,management.j2ee.EJB:4,management.j2ee.JVM:4,management.j2ee.ResourceAdapterModuleMBean:1,management.j2ee.J2EEDeployedObject:4,management.j2ee.JDBCDataSource:4,management.j2ee.J2EEDomainTarget:4,management.j2ee.Servlet:4,management.j2ee.ResourceAdapter:4,management.j2ee.JCAConnectionFactory:4,management.j2ee.JCAManagedConnectionFactory:4,management.j2ee.J2EEResource:4,management.j2ee.J2EEApplication:4,management.j2ee.StateManagement:1,management.j2ee.J2EEModule:4,management.j2ee.JDBCDriver:4,management.j2ee.J2EEDomain:4}}","{methodDeps:{management.j2ee.J2EEServer:6,management.j2ee.EJB:6,management.j2ee.JVM:6,management.j2ee.ResourceAdapterModuleMBean:1,management.j2ee.J2EEDeployedObject:6,management.j2ee.JDBCDataSource:6,management.j2ee.J2EEDomainTarget:6,management.j2ee.Servlet:6,management.j2ee.ResourceAdapter:6,management.j2ee.JCAConnectionFactory:6,management.j2ee.JCAManagedConnectionFactory:6,management.j2ee.J2EEResource:6,management.j2ee.J2EEManagedObject:6,management.j2ee.J2EEApplication:6,management.j2ee.StateManagement:7,management.j2ee.J2EEModule:6,management.j2ee.JDBCDriver:6,management.j2ee.J2EEDomain:6}}"
7,management.j2ee.EntityBean,"{attrDeps:{management.j2ee.EJB:1,management.j2ee.EntityBeanMBean:1}}","{methodDeps:{management.j2ee.EJB:1,management.j2ee.EntityBeanMBean:1}}"
4,management.j2ee.EJBMBean,null,null
55,management.j2ee.RMI_IIOPResourceMBean,null,null
15,management.j2ee.J2EEDomain,"{attrDeps:{management.j2ee.J2EEManagedObject:1,management.j2ee.J2EEDomainMBean:1}}","{methodDeps:{management.j2ee.J2EEManagedObject:1,management.j2ee.J2EEDomainMBean:1}}"
2,management.j2ee.CountStatistic,"{attrDeps:{management.j2ee.Statistic:1}}","{methodDeps:{management.j2ee.Statistic:1}}"
8,management.j2ee.EntityBeanMBean,null,null
59,management.j2ee.SessionBeanMBean,null,null
64,management.j2ee.StatelessSessionBeanMBean,null,null
32,management.j2ee.JCAResource,"{attrDeps:{management.j2ee.J2EEServer:6,management.j2ee.EJB:6,management.j2ee.JVM:6,management.j2ee.J2EEDeployedObject:6,management.j2ee.JDBCDataSource:6,management.j2ee.J2EEDomainTarget:6,management.j2ee.Servlet:6,management.j2ee.ResourceAdapter:6,management.j2ee.JCAConnectionFactory:6,management.j2ee.JCAManagedConnectionFactory:6,management.j2ee.J2EEResource:6,management.j2ee.JCAResourceMBean:1,management.j2ee.StateManagement:1,management.j2ee.JDBCDriver:6,management.j2ee.J2EEDomain:6}}","{methodDeps:{management.j2ee.J2EEServer:5,management.j2ee.EJB:5,management.j2ee.JVM:5,management.j2ee.J2EEDeployedObject:5,management.j2ee.JDBCDataSource:5,management.j2ee.J2EEDomainTarget:5,management.j2ee.Servlet:5,management.j2ee.ResourceAdapter:5,management.j2ee.JCAConnectionFactory:5,management.j2ee.JCAManagedConnectionFactory:5,management.j2ee.J2EEResource:5,management.j2ee.J2EEManagedObject:5,management.j2ee.JCAResourceMBean:1,management.j2ee.StateManagement:3,management.j2ee.JDBCDriver:5,management.j2ee.J2EEDomain:5}}"
49,management.j2ee.MessageDrivenBeanMBean,null,null
51,management.j2ee.ResourceAdapterMBean,null,null
65,management.j2ee.StateManageable,"{attrDeps:{management.j2ee.EventProvider:1}}","{methodDeps:{management.j2ee.EventProvider:1}}"
33,management.j2ee.JCAResourceMBean,null,null
81,management.mejb.ManagementBean$LocalConnector,"{attrDeps:{management.mejb.ManagementBean:2}}",null
29,management.j2ee.JCAConnectionFactoryMBean,null,null
39,management.j2ee.JDBCResourceMBean,null,null
36,management.j2ee.JDBCDriver,"{attrDeps:{management.j2ee.J2EEManagedObject:1,management.j2ee.JDBCDriverMBean:1}}","{methodDeps:{management.j2ee.J2EEManagedObject:1,management.j2ee.JDBCDriverMBean:1}}"
47,management.j2ee.JVMMBean,null,null
