Id,Name
23,management.j2ee.J2EEResourceMBean
50,management.j2ee.ResourceAdapter
40,management.j2ee.JMSResource
43,management.j2ee.JNDIResourceMBean
5,management.j2ee.EJBModule
83,management.mejb.PollingClientNotificationListener
12,management.j2ee.J2EEApplicationMBean
72,management.j2ee.WebModule
26,management.j2ee.JavaMailResource
68,management.j2ee.StatisticsProvider
84,management.mejb.PollingNotificationListener
66,management.j2ee.StateManagement
10,management.j2ee.InvalidParentException
44,management.j2ee.JTAResource
69,management.j2ee.TimeStatistic
42,management.j2ee.JNDIResource
46,management.j2ee.JVM
3,management.j2ee.EJB
16,management.j2ee.J2EEDomainMBean
17,management.j2ee.J2EEDomainTarget
19,management.j2ee.J2EEManagedObjectMBean
9,management.j2ee.EventProvider
63,management.j2ee.StatelessSessionBean
77,management.mejb.JMSNotificationListener
88,management.mejb.RMINotificationListener
48,management.j2ee.MessageDrivenBean
85,management.mejb.PollingNotificationListenerMBean
52,management.j2ee.ResourceAdapterModule
7,management.j2ee.EntityBean
4,management.j2ee.EJBMBean
55,management.j2ee.RMI_IIOPResourceMBean
15,management.j2ee.J2EEDomain
2,management.j2ee.CountStatistic
8,management.j2ee.EntityBeanMBean
59,management.j2ee.SessionBeanMBean
64,management.j2ee.StatelessSessionBeanMBean
32,management.j2ee.JCAResource
49,management.j2ee.MessageDrivenBeanMBean
51,management.j2ee.ResourceAdapterMBean
65,management.j2ee.StateManageable
33,management.j2ee.JCAResourceMBean
81,management.mejb.ManagementBean$LocalConnector
29,management.j2ee.JCAConnectionFactoryMBean
39,management.j2ee.JDBCResourceMBean
36,management.j2ee.JDBCDriver
47,management.j2ee.JVMMBean
54,management.j2ee.RMI_IIOPResource
18,management.j2ee.J2EEManagedObject
82,management.mejb.ManagementBean
80,management.mejb.ListenerRegistration
60,management.j2ee.SingleJBossServerManagement
71,management.j2ee.URLResourceMBean
87,management.mejb.RMIClientNotificationListenerInterface
56,management.j2ee.Servlet
58,management.j2ee.SessionBean
45,management.j2ee.JTAResourceMBean
57,management.j2ee.ServletMBean
20,management.j2ee.J2EEModule
21,management.j2ee.J2EEModuleMBean
73,management.j2ee.WebModuleMBean
89,management.mejb.RMINotificationListenerMBean
25,management.j2ee.J2EEServerMBean
28,management.j2ee.JCAConnectionFactory
0,management.j2ee.AppClientModule
75,management.mejb.ClientNotificationListener
79,management.mejb.ListenerMBean
37,management.j2ee.JDBCDriverMBean
27,management.j2ee.JavaMailResourceMBean
22,management.j2ee.J2EEResource
35,management.j2ee.JDBCDataSourceMBean
53,management.j2ee.ResourceAdapterModuleMBean
13,management.j2ee.J2EEDeployedObject
61,management.j2ee.StatefulSessionBean
70,management.j2ee.URLResource
1,management.j2ee.AppClientModuleMBean
67,management.j2ee.Statistic
74,management.j2ee.WrapperException
34,management.j2ee.JDBCDataSource
6,management.j2ee.EJBModuleMBean
41,management.j2ee.JMSResourceMBean
62,management.j2ee.StatefulSessionBeanMBean
38,management.j2ee.JDBCResource
24,management.j2ee.J2EEServer
30,management.j2ee.JCAManagedConnectionFactory
11,management.j2ee.J2EEApplication
78,management.mejb.JMSNotificationListenerMBean
76,management.mejb.JMSClientNotificationListener
86,management.mejb.RMIClientNotificationListener
90,management.mejb.SearchClientNotificationListener
14,management.j2ee.J2EEDeployedObjectMBean
31,management.j2ee.JCAManagedConnectionFactoryMBean
