From,To,Type,Stype
69,67,3,I
32,46,4,Dy
18,19,3,I
50,18,3,I
26,15,4,Dy
54,22,4,Dy
65,9,3,I
54,22,3,I
0,20,4,Dy
34,18,3,I
54,13,4,Dy
22,23,3,I
44,28,4,Dy
80,75,1,As
42,46,4,Dy
34,35,3,I
54,28,4,Dy
54,55,3,I
11,17,4,Dy
70,3,4,Dy
60,30,4,Dy
13,18,3,I
20,13,3,I
40,50,4,Dy
40,30,4,Dy
11,36,4,Dy
50,51,3,I
82,3,4,Dy
60,50,4,Dy
26,34,4,Dy
66,17,4,Dy
40,24,4,Dy
38,46,4,Dy
66,22,4,Dy
52,36,4,Dy
66,13,4,Dy
70,15,4,Dy
60,24,4,Dy
5,36,4,Dy
82,15,4,Dy
72,20,4,Dy
85,79,3,I
42,36,4,Dy
5,17,4,Dy
7,8,3,I
26,3,4,Dy
70,56,4,Dy
44,18,1,As
81,82,2,Ag
42,56,4,Dy
80,90,4,Dy
11,22,4,Dy
11,13,4,Dy
77,78,3,I
0,13,1,As
38,36,4,Dy
44,30,4,Dy
52,17,4,Dy
82,18,1,As
3,18,3,I
72,20,3,I
5,11,1,As
58,3,3,I
38,66,1,As
26,56,4,Dy
60,28,4,Dy
32,33,3,I
52,11,1,As
11,28,4,Dy
24,18,3,I
44,50,4,Dy
40,28,4,Dy
5,20,4,Dy
11,13,3,I
66,28,4,Dy
83,75,3,I
44,24,4,Dy
70,34,4,Dy
63,58,3,I
52,53,3,I
32,66,1,As
58,59,3,I
40,13,4,Dy
60,22,4,Dy
52,20,4,Dy
28,29,3,I
52,11,4,Dy
28,66,1,As
66,50,4,Dy
38,15,4,Dy
52,56,4,Dy
66,30,4,Dy
40,15,4,Dy
26,24,4,Dy
46,47,3,I
28,18,3,I
70,24,4,Dy
40,17,4,Dy
82,24,4,Dy
52,22,4,Dy
5,46,4,Dy
70,18,1,As
40,66,1,As
42,15,4,Dy
52,20,3,I
40,41,3,I
42,13,4,Dy
44,17,4,Dy
20,21,3,I
52,28,4,Dy
32,15,4,Dy
5,15,4,Dy
36,18,3,I
60,56,4,Dy
42,43,3,I
40,34,4,Dy
38,56,4,Dy
11,18,1,As
70,46,4,Dy
5,13,1,As
82,28,4,Dy
34,38,1,As
30,18,3,I
40,3,4,Dy
3,4,3,I
70,36,4,Dy
54,50,4,Dy
66,56,4,Dy
44,22,4,Dy
70,66,1,As
82,81,1,As
80,86,4,Dy
26,27,3,I
5,6,3,I
32,56,4,Dy
48,3,3,I
11,34,4,Dy
5,13,4,Dy
38,39,3,I
70,13,4,Dy
82,34,4,Dy
26,28,4,Dy
54,30,4,Dy
