Id,Name,Set_of_Attrdeps,Set_of_Methoddeps
53,ejb.jndi.config.LookupConfig,"{attrDeps:{config.ConfigElement:1}}",null
225,protocol.java.test.SleepTest,"{attrDeps:{protocol.java.sampler.JavaSamplerClient:1,samplers.SampleResult:1}}","{methodDeps:{protocol.java.sampler.JavaSamplerClient:1,samplers.SampleResult:5}}"
97,gui.action.Load$Test,"{attrDeps:{gui.AbstractJMeterGuiComponent:3,gui.tree.JMeterTreeNode:3,protocol.http.proxy.gui.ProxyControlGui:3,threads.gui.ThreadGroupGui:3,gui.NamePanel:3,util.ListedHashTree:1,gui.action.Load:1,control.gui.WorkBenchGui:3}}","{methodDeps:{util.JMeterUtils:1,gui.AbstractJMeterGuiComponent:1,gui.tree.JMeterTreeNode:1,gui.JMeterGUIComponent:1,gui.action.Load:13,save.old.xml.XmlHandler:2,protocol.http.proxy.gui.ProxyControlGui:1,control.gui.LogicControllerGui:2,threads.gui.ThreadGroupGui:1,save.old.JMeterNameSpaceHandler:1,gui.NamePanel:1,util.ListedHashTree:24,control.gui.WorkBenchGui:1}}"
214,protocol.http.sampler.HTTPSamplerFull,"{attrDeps:{protocol.http.control.CookieManager:5,protocol.http.control.HeaderManager:4,protocol.http.control.AuthManager:4,protocol.java.config.JavaConfig:4,samplers.SampleResult:4,threads.ThreadGroup:5,samplers.CycleEntry:1,assertions.DurationAssertion:5,control.GenericController:5,protocol.http.modifier.AnchorModifier:5,samplers.Entry:1,config.Arguments:4,protocol.http.control.Cookie:5,protocol.http.control.Authorization:5,samplers.RemoteListenerWrapper:5,testelement.TestPlan:4,protocol.http.modifier.URLRewritingModifier:5,config.ConfigTestElement:5,protocol.http.modifier.ParamMask:5,reporters.AbstractListenerElement:4,samplers.RemoteSampleListenerWrapper:5,protocol.http.modifier.ParamModifier:5,config.LoginConfig:5,protocol.http.sampler.HTTPSampler:1,assertions.ResponseAssertion:5,protocol.http.control.Header:5,timers.ConstantTimer:4,samplers.AbstractSampler:4,config.Argument:5,samplers.RemoteTestListenerWrapper:5}}","{methodDeps:{protocol.http.control.CookieManager:1,protocol.http.control.HeaderManager:1,protocol.http.control.AuthManager:1,protocol.java.config.JavaConfig:1,samplers.SampleResult:41,threads.ThreadGroup:1,samplers.CycleEntry:1,assertions.DurationAssertion:1,control.GenericController:1,protocol.http.modifier.AnchorModifier:1,config.Arguments:1,protocol.http.control.Cookie:1,protocol.http.control.Authorization:1,testelement.AbstractTestElement:1,samplers.RemoteListenerWrapper:1,testelement.TestPlan:1,protocol.http.modifier.URLRewritingModifier:1,config.ConfigTestElement:1,protocol.http.modifier.ParamMask:1,reporters.AbstractListenerElement:1,samplers.RemoteSampleListenerWrapper:1,protocol.http.modifier.ParamModifier:1,config.LoginConfig:1,protocol.http.sampler.HTTPSampler:1,assertions.ResponseAssertion:1,protocol.http.control.Header:1,timers.ConstantTimer:1,samplers.AbstractSampler:1,config.Argument:1,samplers.RemoteTestListenerWrapper:1}}"
270,save.old.handlers.JdbcTestSampleHandler,"{attrDeps:{protocol.jdbc.sampler.JDBCSampler:2,protocol.http.control.CookieManager:2,protocol.http.control.HeaderManager:2,protocol.java.sampler.JavaSampler:1,protocol.http.control.AuthManager:2,protocol.java.config.JavaConfig:2,control.ModifyController:2,protocol.ftp.sampler.FTPSampler:2,threads.ThreadGroup:2,control.InterleaveControl:1,assertions.DurationAssertion:2,control.GenericController:2,protocol.http.modifier.AnchorModifier:2,config.Arguments:2,save.old.Saveable:1,protocol.http.control.Cookie:2,protocol.http.control.Authorization:2,samplers.RemoteListenerWrapper:2,testelement.TestPlan:2,protocol.http.modifier.URLRewritingModifier:2,config.ConfigTestElement:2,protocol.http.modifier.ParamMask:2,control.LoopController:1,reporters.AbstractListenerElement:2,samplers.RemoteSampleListenerWrapper:2,protocol.http.modifier.ParamModifier:2,control.OnceOnlyController:1,config.LoginConfig:2,protocol.http.sampler.HTTPSampler:2,assertions.ResponseAssertion:2,protocol.http.control.Header:2,timers.ConstantTimer:2,samplers.AbstractSampler:2,config.Argument:2,samplers.RemoteTestListenerWrapper:2,save.old.xml.TagHandler:1}}","{methodDeps:{protocol.jdbc.sampler.JDBCSampler:2,protocol.http.control.CookieManager:2,protocol.http.control.HeaderManager:2,protocol.java.sampler.JavaSampler:4,protocol.http.control.AuthManager:2,protocol.java.config.JavaConfig:2,control.ModifyController:2,protocol.ftp.sampler.FTPSampler:2,threads.ThreadGroup:2,save.old.xml.XmlHandler:4,control.InterleaveControl:1,assertions.DurationAssertion:2,control.GenericController:2,protocol.http.modifier.AnchorModifier:2,config.Arguments:2,protocol.http.control.Cookie:2,protocol.http.control.Authorization:2,testelement.AbstractTestElement:2,samplers.RemoteListenerWrapper:2,testelement.TestPlan:2,protocol.http.modifier.URLRewritingModifier:2,config.ConfigTestElement:2,protocol.http.modifier.ParamMask:2,control.LoopController:1,reporters.AbstractListenerElement:2,samplers.RemoteSampleListenerWrapper:2,protocol.http.modifier.ParamModifier:2,control.OnceOnlyController:1,config.LoginConfig:2,protocol.http.sampler.HTTPSampler:2,assertions.ResponseAssertion:2,protocol.http.control.Header:2,samplers.AbstractSampler:2,timers.ConstantTimer:2,config.Argument:2,samplers.RemoteTestListenerWrapper:2,save.old.xml.TagHandler:1}}"
245,samplers.Clearable,null,null
258,samplers.SampleResult,"{attrDeps:{control.Controller:3,testelement.AbstractTestElement:3,assertions.AssertionResult:1,testelement.TestElement:3,samplers.Sampler:3}}","{methodDeps:{control.Controller:3,testelement.AbstractTestElement:3,samplers.Sampler:3}}"
27,control.gui.AbstractControllerGui,"{attrDeps:{gui.AbstractJMeterGuiComponent:1}}","{methodDeps:{gui.util.MenuFactory:1,gui.AbstractJMeterGuiComponent:1}}"
17,config.gui.AbstractResponseBasedModifierGui,"{attrDeps:{gui.AbstractJMeterGuiComponent:1}}","{methodDeps:{gui.util.MenuFactory:1,gui.AbstractJMeterGuiComponent:1}}"
194,protocol.http.modifier.UserParameterXMLErrorHandler,null,null
236,protocol.jdbc.util.DBKey,null,null
276,save.old.handlers.TestPlanHandler,"{attrDeps:{testelement.WorkBench:3,save.old.xml.TagHandler:1,save.old.Saveable:1}}","{methodDeps:{testelement.TestPlan:1,testelement.WorkBench:1,save.old.xml.TagHandler:1}}"
21,config.LoginConfig,"{attrDeps:{testelement.AbstractTestElement:1}}","{methodDeps:{testelement.AbstractTestElement:1}}"
329,util.ListedHashTree,"{attrDeps:{engine.ConvertListeners:2,util.SearchByClass:2,util.ListedHashTreeVisitor:2,engine.PreCompiler:2,engine.TreeCloner:2}}","{methodDeps:{engine.ConvertListeners:4,util.SearchByClass:4,util.ListedHashTreeVisitor:4,engine.PreCompiler:4,engine.TreeCloner:4}}"
347,visualizers.GraphListener,"{attrDeps:{visualizers.Sample:1}}",null
47,ejb.jndi.config.gui.MethodConfigDialog$1,"{attrDeps:{ejb.jndi.config.gui.MethodConfigDialog:2}}",null
319,util.Data,null,"{methodDeps:{util.JMeterUtils:3}}"
76,functions.gui.FunctionHelper,"{attrDeps:{gui.util.JLabeledPasswordField:1,gui.util.JLabeledChoice:1,config.gui.ArgumentsPanel:1,gui.util.JLabeledTextField:1,functions.ThreadNumber:2,protocol.http.gui.HTTPArgumentsPanel:1,functions.AbstractFunction:10,protocol.http.util.HTTPArgument:12,functions.CompoundFunction:1}}","{methodDeps:{util.JMeterUtils:5,gui.util.JLabeledChoice:4,util.ClassFinder:1,functions.Function:2,functions.ThreadNumber:2,protocol.http.gui.HTTPArgumentsPanel:3,functions.AbstractFunction:2,protocol.http.util.HTTPArgument:1,functions.CompoundFunction:2,gui.util.JLabeledPasswordField:2,config.gui.ArgumentsPanel:3,gui.util.JLabeledTextField:2,config.Argument:1,gui.util.ComponentUtil:1,config.Arguments:4}}"
93,gui.action.CreateFunctionDialog,"{attrDeps:{gui.action.AbstractAction:1,functions.gui.FunctionHelper:1}}","{methodDeps:{gui.action.AbstractAction:1,functions.gui.FunctionHelper:1}}"
