From,To,Type,Stype
29,82,1,As
68,243,1,As
342,343,1,As
135,132,3,I
212,221,4,Dy
214,293,4,Dy
302,293,4,Dy
273,267,3,I
68,254,4,Dy
274,172,4,Dy
273,10,4,Dy
147,321,1,As
319,321,1,As
118,291,1,As
19,16,4,Dy
303,59,4,Dy
76,11,1,As
170,257,4,Dy
210,288,1,As
302,11,4,Dy
177,172,4,Dy
212,247,1,As
230,10,4,Dy
277,305,1,As
183,288,3,I
57,58,1,As
261,21,4,Dy
8,288,4,Dy
349,17,4,Dy
208,207,1,As
233,13,4,Dy
175,293,4,Dy
176,21,4,Dy
273,189,4,Dy
186,291,2,Ag
337,34,4,Dy
227,291,1,As
31,16,4,Dy
269,244,1,As
361,360,1,As
302,11,1,As
309,16,4,Dy
210,288,4,Dy
179,221,4,Dy
65,288,4,Dy
153,216,4,Dy
20,2,4,Dy
169,3,4,Dy
175,11,4,Dy
42,191,4,Dy
270,306,4,Dy
200,10,1,As
267,280,1,As
269,21,4,Dy
311,306,1,As
266,43,4,Dy
214,11,4,Dy
35,2,4,Dy
50,47,1,As
223,167,4,Dy
220,17,4,Dy
337,321,1,As
229,183,4,Dy
223,9,4,Dy
230,189,4,Dy
359,245,3,I
277,191,4,Dy
79,80,1,As
181,146,1,As
98,233,4,Dy
180,2,4,Dy
274,13,4,Dy
7,308,4,Dy
40,255,1,As
38,238,4,Dy
35,191,4,Dy
36,9,4,Dy
150,24,4,Dy
161,166,4,Dy
170,27,4,Dy
29,40,4,Dy
181,21,4,Dy
36,189,4,Dy
102,86,1,As
223,258,1,As
210,188,4,Dy
40,59,4,Dy
185,288,4,Dy
279,274,4,Dy
267,40,4,Dy
184,17,3,I
262,168,4,Dy
34,2,4,Dy
169,248,4,Dy
228,156,4,Dy
295,166,4,Dy
166,12,1,As
214,306,4,Dy
183,214,4,Dy
95,109,1,As
277,305,4,Dy
210,214,4,Dy
266,183,4,Dy
232,229,1,As
312,254,4,Dy
337,350,4,Dy
140,35,4,Dy
270,293,4,Dy
233,172,4,Dy
219,26,4,Dy
169,248,3,I
231,188,4,Dy
243,249,3,I
162,248,4,Dy
231,288,1,As
244,0,1,As
271,288,4,Dy
215,219,4,Dy
302,306,4,Dy
363,353,1,As
361,308,4,Dy
261,244,4,Dy
310,24,4,Dy
226,21,4,Dy
219,21,4,Dy
216,188,4,Dy
84,92,3,I
223,189,4,Dy
25,291,1,As
267,171,4,Dy
69,306,4,Dy
158,17,4,Dy
190,214,4,Dy
123,321,1,As
82,24,4,Dy
275,264,4,Dy
179,305,4,Dy
19,253,4,Dy
266,293,4,Dy
303,257,4,Dy
98,285,1,As
226,21,3,I
190,219,4,Dy
34,305,4,Dy
271,257,4,Dy
109,117,2,Ag
163,146,1,As
223,10,4,Dy
273,167,4,Dy
229,257,4,Dy
61,254,1,As
337,350,3,I
264,167,4,Dy
25,250,4,Dy
223,10,1,As
20,166,4,Dy
267,305,4,Dy
8,27,4,Dy
243,258,1,As
156,254,4,Dy
20,191,4,Dy
20,17,4,Dy
299,183,4,Dy
40,257,1,As
177,254,4,Dy
148,155,1,As
273,9,4,Dy
182,171,4,Dy
38,26,4,Dy
303,72,4,Dy
20,230,4,Dy
120,35,4,Dy
68,172,4,Dy
229,11,4,Dy
180,166,4,Dy
243,9,4,Dy
67,62,1,As
98,188,4,Dy
98,288,1,As
176,143,1,As
339,338,1,As
43,26,3,I
295,191,4,Dy
205,171,4,Dy
216,288,1,As
36,216,4,Dy
228,17,4,Dy
211,214,4,Dy
243,167,4,Dy
20,305,4,Dy
267,221,4,Dy
84,109,1,As
187,291,2,Ag
226,238,4,Dy
107,329,1,As
226,244,4,Dy
50,48,1,As
219,244,4,Dy
219,238,4,Dy
232,24,4,Dy
42,305,4,Dy
19,9,4,Dy
276,280,1,As
268,250,4,Dy
23,59,4,Dy
20,3,4,Dy
180,305,4,Dy
214,183,4,Dy
40,257,4,Dy
60,329,1,As
265,172,4,Dy
158,248,4,Dy
176,24,4,Dy
34,166,4,Dy
263,253,4,Dy
187,15,4,Dy
30,24,4,Dy
180,191,4,Dy
50,49,1,As
352,146,1,As
269,244,4,Dy
295,2,4,Dy
261,26,4,Dy
33,24,4,Dy
157,244,4,Dy
