Id,Name,Set_of_Attrdeps,Set_of_Methoddeps
6,de.susebox.java.util.KeywordIterator,"{attrDeps:{PluginTokenizer:1,de.susebox.java.util.AbstractTokenizer:1,de.susebox.java.util.InputStreamTokenizer:1}}","{methodDeps:{PluginTokenizer:1,de.susebox.java.util.InputStreamTokenizer:1}}"
17,SeparatorHandler,"{attrDeps:{Plugin:1}}","{methodDeps:{Plugin:1}}"
2,de.susebox.java.lang.ExtIndexOutOfBoundsException,"{attrDeps:{de.susebox.java.lang.ExceptionList:1}}","{methodDeps:{de.susebox.java.lang.ExceptionList:1}}"
8,de.susebox.java.util.SpecialSequence,"{attrDeps:{de.susebox.java.util.TokenizerProperty:3}}",null
5,de.susebox.java.util.InputStreamTokenizer,"{attrDeps:{de.susebox.java.util.AbstractTokenizer:1}}","{methodDeps:{de.susebox.java.util.AbstractTokenizer:1}}"
0,de.susebox.java.io.ExtIOException,"{attrDeps:{de.susebox.java.lang.ExceptionList:1}}","{methodDeps:{de.susebox.java.lang.ExceptionList:1}}"
14,InputStreamSource,"{attrDeps:{PluginTokenizer:1,TokenizerSource:1}}","{methodDeps:{TokenizerSource:1}}"
7,de.susebox.java.util.SortedArray,"{attrDeps:{PluginTokenizer:2,de.susebox.java.util.AbstractTokenizer:2,de.susebox.java.util.SpecialSequence:1,de.susebox.java.util.InputStreamTokenizer:2,de.susebox.java.util.TokenizerProperty:2}}","{methodDeps:{PluginTokenizer:2,de.susebox.java.util.AbstractTokenizer:2,de.susebox.java.util.SpecialSequence:6,de.susebox.java.util.InputStreamTokenizer:2,de.susebox.java.util.TokenizerProperty:5}}"
15,Plugin,"{attrDeps:{PluginTokenizer:1}}",null
13,de.susebox.java.util.TokenizerProperty,null,null
1,de.susebox.java.lang.ExceptionList,null,null
11,de.susebox.java.util.Tokenizer,"{attrDeps:{de.susebox.java.util.Token:2}}",null
9,de.susebox.java.util.SpecialSequencesIterator,"{attrDeps:{PluginTokenizer:1,de.susebox.java.util.AbstractTokenizer:1,de.susebox.java.util.SpecialSequence:1,de.susebox.java.util.InputStreamTokenizer:1}}","{methodDeps:{de.susebox.java.lang.ExtRuntimeException:1,PluginTokenizer:1,de.susebox.java.util.SortedArray:3,de.susebox.java.util.InputStreamTokenizer:1,de.susebox.java.util.TokenizerProperty:2}}"
12,de.susebox.java.util.TokenizerException,"{attrDeps:{de.susebox.java.lang.ExceptionList:1}}","{methodDeps:{de.susebox.java.lang.ExceptionList:1}}"
20,WhitespaceHandler,"{attrDeps:{Plugin:1}}","{methodDeps:{Plugin:1}}"
19,TokenizerSource,"{attrDeps:{Plugin:1}}","{methodDeps:{Plugin:1}}"
3,de.susebox.java.lang.ExtRuntimeException,"{attrDeps:{de.susebox.java.lang.ExceptionList:1}}","{methodDeps:{de.susebox.java.lang.ExceptionList:1}}"
4,de.susebox.java.util.AbstractTokenizer,"{attrDeps:{de.susebox.java.util.Token:11,de.susebox.java.util.TokenizerProperty:5,de.susebox.java.util.Tokenizer:1}}","{methodDeps:{de.susebox.java.lang.ExtRuntimeException:2,de.susebox.java.lang.ExtIndexOutOfBoundsException:5,de.susebox.java.util.Token:51,de.susebox.java.util.SortedArray:6,de.susebox.java.util.TokenizerProperty:21,de.susebox.java.util.Tokenizer:1,de.susebox.java.util.TokenizerException:2,de.susebox.java.util.SpecialSequencesIterator:4,de.susebox.java.util.KeywordIterator:1}}"
16,PluginTokenizer,"{attrDeps:{SeparatorHandler:0,de.susebox.java.util.AbstractTokenizer:1,SequenceHandler:1,de.susebox.java.util.TokenizerProperty:1,InputStreamSource:5,WhitespaceHandler:4,TokenizerSource:4}}","{methodDeps:{SeparatorHandler:4,de.susebox.java.util.AbstractTokenizer:1,InputStreamSource:1,SequenceHandler:4,WhitespaceHandler:4,TokenizerSource:4,Plugin:4}}"
18,SequenceHandler,"{attrDeps:{de.susebox.java.util.TokenizerProperty:1,Plugin:1}}","{methodDeps:{Plugin:1}}"
10,de.susebox.java.util.Token,null,null
