Id,Name,Set_of_Attrdeps,Set_of_Methoddeps
115,org.apache.log4j.lf5.viewer.categoryexplorer.CategoryNodeEditor$6,"{attrDeps:{org.apache.log4j.lf5.viewer.categoryexplorer.CategoryNodeEditor:2,org.apache.log4j.lf5.viewer.categoryexplorer.CategoryNode:2}}","{methodDeps:{org.apache.log4j.lf5.viewer.categoryexplorer.CategoryNodeEditor:1}}"
198,org.apache.log4j.or.DefaultRenderer,"{attrDeps:{org.apache.log4j.or.ObjectRenderer:1}}","{methodDeps:{org.apache.log4j.or.ObjectRenderer:1}}"
196,org.apache.log4j.net.TelnetAppender,"{attrDeps:{org.apache.log4j.net.TelnetAppender$SocketHandler:1,org.apache.log4j.xml.XMLLayout:5,org.apache.log4j.SimpleLayout:5,org.apache.log4j.spi.LoggingEvent:1,org.apache.log4j.PatternLayout:1,org.apache.log4j.HTMLLayout:1,org.apache.log4j.AppenderSkeleton:1,org.apache.log4j.helpers.DateLayout:1}}","{methodDeps:{org.apache.log4j.net.TelnetAppender$SocketHandler:5,org.apache.log4j.xml.XMLLayout:2,org.apache.log4j.SimpleLayout:2,org.apache.log4j.spi.LoggingEvent:1,org.apache.log4j.Layout:2,org.apache.log4j.PatternLayout:2,org.apache.log4j.HTMLLayout:2,org.apache.log4j.AppenderSkeleton:1,org.apache.log4j.helpers.DateLayout:2}}"
149,org.apache.log4j.lf5.viewer.LogBrokerMonitor$29,"{attrDeps:{org.apache.log4j.lf5.viewer.LogBrokerMonitor:2,org.apache.log4j.lf5.Log4JLogRecord:1,org.apache.log4j.lf5.util.AdapterLogRecord:1}}","{methodDeps:{org.apache.log4j.lf5.LogRecord:1,org.apache.log4j.lf5.viewer.LogBrokerMonitor:2,org.apache.log4j.lf5.viewer.LogTable:1,org.apache.log4j.lf5.viewer.categoryexplorer.CategoryExplorerTree:1,org.apache.log4j.lf5.Log4JLogRecord:1,org.apache.log4j.lf5.util.AdapterLogRecord:1,org.apache.log4j.lf5.viewer.categoryexplorer.CategoryExplorerModel:1}}"
176,org.apache.log4j.lf5.viewer.TrackingAdjustmentListener,null,null
107,org.apache.log4j.lf5.viewer.categoryexplorer.CategoryExplorerTree,"{attrDeps:{org.apache.log4j.lf5.viewer.categoryexplorer.CategoryNodeEditorRenderer:1,org.apache.log4j.lf5.viewer.categoryexplorer.CategoryExplorerModel:3}}","{methodDeps:{org.apache.log4j.lf5.viewer.categoryexplorer.CategoryNodeRenderer:2,org.apache.log4j.lf5.viewer.categoryexplorer.CategoryNodeEditor:1,org.apache.log4j.lf5.viewer.categoryexplorer.CategoryNode:1,org.apache.log4j.lf5.viewer.categoryexplorer.CategoryExplorerTree$1:1,org.apache.log4j.lf5.viewer.categoryexplorer.CategoryNodeEditorRenderer:2,org.apache.log4j.lf5.viewer.categoryexplorer.CategoryExplorerModel:2,org.apache.log4j.lf5.viewer.categoryexplorer.CategoryImmediateEditor:1}}"
61,org.apache.log4j.helpers.PatternParser$LocationPatternConverter,"{attrDeps:{org.apache.log4j.helpers.PatternConverter:1,org.apache.log4j.helpers.PatternParser:2,org.apache.log4j.spi.LoggingEvent:1,org.apache.log4j.helpers.FormattingInfo:1}}","{methodDeps:{org.apache.log4j.helpers.PatternConverter:1,org.apache.log4j.spi.LoggingEvent:1,org.apache.log4j.spi.LocationInfo:3}}"
218,org.apache.log4j.spi.HierarchyEventListener,"{attrDeps:{org.apache.log4j.Logger:2,org.apache.log4j.Appender:2,org.apache.log4j.AppenderSkeleton:2,org.apache.log4j.Category:2}}","{methodDeps:{org.apache.log4j.Logger:2,org.apache.log4j.AppenderSkeleton:2}}"
220,org.apache.log4j.spi.LoggerFactory,"{attrDeps:{org.apache.log4j.Logger:1,org.apache.log4j.spi.NOPLogger:1,org.apache.log4j.spi.RootLogger:1,org.apache.log4j.spi.RootCategory:1}}","{methodDeps:{org.apache.log4j.spi.NOPLogger:1,org.apache.log4j.spi.RootLogger:1,org.apache.log4j.spi.RootCategory:1}}"
10,org.apache.log4j.chainsaw.ControlPanel$3,"{attrDeps:{org.apache.log4j.chainsaw.MyTableModel:2,org.apache.log4j.chainsaw.ControlPanel:2}}","{methodDeps:{org.apache.log4j.chainsaw.MyTableModel:3}}"
43,org.apache.log4j.helpers.CountingQuietWriter,"{attrDeps:{org.apache.log4j.helpers.OnlyOnceErrorHandler:1,org.apache.log4j.varia.FallbackErrorHandler:1,org.apache.log4j.spi.ErrorHandler:1,org.apache.log4j.helpers.QuietWriter:1}}","{methodDeps:{org.apache.log4j.helpers.OnlyOnceErrorHandler:1,org.apache.log4j.varia.FallbackErrorHandler:1,org.apache.log4j.spi.ErrorHandler:1,org.apache.log4j.helpers.QuietWriter:1}}"
76,org.apache.log4j.jmx.AppenderDynamicMBean,"{attrDeps:{org.apache.log4j.jmx.AbstractDynamicMBean:1,org.apache.log4j.xml.XMLLayout:1,org.apache.log4j.spi.RootLogger:5,org.apache.log4j.SimpleLayout:1,org.apache.log4j.spi.RootCategory:5,org.apache.log4j.spi.ErrorHandler:13,org.apache.log4j.AppenderSkeleton:2,org.apache.log4j.spi.Filter:1,org.apache.log4j.Logger:5,org.apache.log4j.Appender:2,org.apache.log4j.spi.NOPLogger:5,org.apache.log4j.Layout:2,org.apache.log4j.PatternLayout:2,org.apache.log4j.HTMLLayout:2,org.apache.log4j.helpers.DateLayout:2}}","{methodDeps:{org.apache.log4j.jmx.AbstractDynamicMBean:1,org.apache.log4j.jmx.LayoutDynamicMBean:1,org.apache.log4j.spi.OptionHandler:1,org.apache.log4j.xml.XMLLayout:1,org.apache.log4j.spi.RootLogger:7,org.apache.log4j.SimpleLayout:1,org.apache.log4j.spi.RootCategory:7,org.apache.log4j.spi.ErrorHandler:1,org.apache.log4j.AppenderSkeleton:4,org.apache.log4j.spi.Filter:1,org.apache.log4j.Logger:7,org.apache.log4j.Appender:4,org.apache.log4j.spi.NOPLogger:7,org.apache.log4j.jmx.MethodUnion:1,org.apache.log4j.Layout:1,org.apache.log4j.PatternLayout:1,org.apache.log4j.HTMLLayout:1,org.apache.log4j.helpers.OptionConverter:2,org.apache.log4j.Category:7,org.apache.log4j.helpers.DateLayout:1}}"
124,org.apache.log4j.lf5.viewer.configure.MRUFileManager,null,null
250,org.apache.log4j.xml.DOMConfigurator$2,"{attrDeps:{org.apache.log4j.xml.DOMConfigurator:2,org.apache.log4j.xml.DOMConfigurator$ParseAction:1}}","{methodDeps:{org.apache.log4j.xml.DOMConfigurator$ParseAction:1}}"
