From,To,Type,Stype
76,226,1,As
184,229,4,Dy
39,216,1,As
255,252,4,Dy
41,212,3,I
154,107,1,As
36,248,1,As
75,6,1,As
259,219,1,As
239,223,4,Dy
181,180,1,As
71,51,1,As
76,223,4,Dy
36,45,4,Dy
15,12,1,As
243,217,3,I
161,160,1,As
35,1,1,As
201,54,1,As
74,177,4,Dy
168,167,1,As
44,222,2,Ag
230,177,3,I
255,251,4,Dy
213,71,4,Dy
1,53,1,As
150,105,1,As
35,73,4,Dy
118,119,1,As
192,205,1,As
178,214,4,Dy
15,13,1,As
210,211,4,Dy
187,216,1,As
125,91,4,Dy
201,227,1,As
20,21,1,As
255,253,1,As
76,81,1,As
241,210,1,As
18,223,4,Dy
74,230,4,Dy
19,6,1,As
255,1,4,Dy
74,177,1,As
242,54,1,As
6,212,3,I
255,250,4,Dy
6,222,1,As
64,56,1,As
194,239,4,Dy
161,124,1,As
90,89,1,As
179,69,1,As
96,161,1,As
16,229,4,Dy
210,43,1,As
15,14,1,As
54,84,4,Dy
187,216,4,Dy
255,177,2,Ag
252,254,3,I
255,252,1,As
78,45,4,Dy
103,90,3,I
76,81,4,Dy
182,232,3,I
26,6,1,As
58,219,1,As
255,249,4,Dy
55,48,1,As
71,177,2,Ag
230,51,1,As
245,224,4,Dy
183,222,1,As
235,177,1,As
79,0,1,As
224,6,2,Ag
255,213,3,I
77,74,3,I
104,109,2,Ag
223,82,2,Ag
96,93,4,Dy
21,6,1,As
253,254,3,I
4,51,1,As
108,120,1,As
255,71,4,Dy
255,251,1,As
30,223,4,Dy
103,89,1,As
183,239,4,Dy
41,222,1,As
128,161,1,As
204,60,4,Dy
35,51,1,As
138,161,1,As
153,161,1,As
227,200,1,As
71,218,1,As
158,125,1,As
195,51,1,As
2,82,4,Dy
250,254,3,I
85,86,1,As
107,105,1,As
193,206,1,As
242,205,1,As
85,1,3,I
178,214,1,As
247,54,1,As
222,205,1,As
0,53,4,Dy
79,230,4,Dy
71,177,4,Dy
199,200,3,I
159,125,1,As
189,1,3,I
161,105,1,As
85,82,4,Dy
259,70,1,As
73,222,2,Ag
178,230,1,As
222,177,4,Dy
5,178,1,As
2,229,4,Dy
1,51,1,As
1,72,4,Dy
251,254,3,I
4,1,3,I
189,188,1,As
110,101,1,As
136,161,1,As
168,166,1,As
216,0,2,Ag
246,223,4,Dy
178,230,4,Dy
56,222,1,As
71,82,1,As
189,216,1,As
206,47,1,As
4,1,4,Dy
235,35,4,Dy
185,223,4,Dy
211,81,3,I
43,216,1,As
197,259,4,Dy
0,237,4,Dy
210,81,2,Ag
58,64,2,Ag
199,51,1,As
178,221,1,As
186,187,1,As
20,26,1,As
152,161,1,As
168,165,1,As
151,161,2,Ag
255,253,4,Dy
96,87,1,As
137,161,1,As
193,221,2,Ag
85,86,4,Dy
248,1,3,I
157,125,1,As
156,125,2,Ag
64,56,4,Dy
23,223,4,Dy
222,179,1,As
206,201,1,As
249,254,3,I
53,223,4,Dy
255,230,4,Dy
58,222,1,As
60,55,3,I
255,221,1,As
211,222,1,As
259,222,1,As
65,53,4,Dy
208,223,4,Dy
248,216,1,As
230,82,2,Ag
78,81,4,Dy
238,210,3,I
79,54,1,As
76,54,1,As
72,82,4,Dy
255,0,1,As
31,51,1,As
139,107,1,As
221,0,1,As
206,207,4,Dy
161,94,2,Ag
120,109,1,As
71,200,2,Ag
187,1,3,I
133,171,1,As
216,230,4,Dy
129,125,1,As
125,154,4,Dy
201,200,1,As
177,82,4,Dy
178,229,4,Dy
51,54,1,As
192,223,4,Dy
78,204,4,Dy
221,223,4,Dy
30,205,1,As
175,87,1,As
191,222,1,As
63,222,2,Ag
255,204,4,Dy
132,171,1,As
213,221,1,As
161,103,4,Dy
91,89,1,As
185,178,1,As
255,207,4,Dy
105,86,4,Dy
25,26,1,As
224,220,1,As
76,45,4,Dy
2,177,1,As
255,53,4,Dy
103,93,4,Dy
96,89,1,As
105,104,1,As
210,45,4,Dy
1,237,4,Dy
236,205,1,As
182,222,1,As
206,221,1,As
35,72,4,Dy
110,105,1,As
224,37,4,Dy
150,93,4,Dy
92,161,1,As
131,171,1,As
187,258,3,I
130,87,2,Ag
123,121,1,As
197,82,4,Dy
236,45,3,I
3,2,1,As
187,217,4,Dy
255,72,4,Dy
203,200,3,I
81,222,1,As
161,128,1,As
26,25,1,As
177,221,1,As
193,177,1,As
149,86,4,Dy
62,48,1,As
187,259,4,Dy
123,172,1,As
78,223,4,Dy
43,239,4,Dy
35,194,4,Dy
193,229,4,Dy
64,51,1,As
127,126,1,As
201,199,4,Dy
1,53,4,Dy
86,231,1,As
149,107,1,As
228,224,4,Dy
235,73,4,Dy
187,232,1,As
45,81,3,I
239,6,1,As
50,51,1,As
196,45,4,Dy
125,91,1,As
39,51,1,As
248,65,1,As
35,183,4,Dy
125,150,4,Dy
19,223,4,Dy
125,86,4,Dy
216,1,4,Dy
248,51,1,As
178,51,1,As
35,196,4,Dy
234,39,4,Dy
235,194,4,Dy
78,54,1,As
196,81,1,As
77,178,1,As
151,171,1,As
113,105,1,As
175,89,1,As
2,230,4,Dy
54,245,4,Dy
1,216,2,Ag
243,222,1,As
64,55,2,Ag
240,241,1,As
197,1,3,I
38,4,2,Ag
91,90,3,I
67,216,1,As
78,81,2,Ag
75,77,1,As
235,230,4,Dy
36,211,4,Dy
35,33,1,As
178,177,2,Ag
123,109,1,As
114,105,1,As
216,177,1,As
76,78,1,As
194,222,1,As
196,195,1,As
193,177,4,Dy
194,216,1,As
78,226,1,As
26,223,4,Dy
5,223,4,Dy
218,6,2,Ag
238,210,4,Dy
64,48,1,As
181,51,1,As
175,93,4,Dy
235,1,1,As
206,207,1,As
6,223,4,Dy
134,171,1,As
189,51,1,As
1,204,4,Dy
36,72,4,Dy
235,196,4,Dy
0,72,4,Dy
212,0,2,Ag
54,50,1,As
195,196,2,Ag
161,129,1,As
154,86,4,Dy
229,177,3,I
113,109,2,Ag
184,222,1,As
139,125,1,As
73,81,1,As
214,71,4,Dy
207,206,1,As
16,177,1,As
187,72,4,Dy
187,182,1,As
255,259,4,Dy
103,121,1,As
201,51,1,As
75,229,4,Dy
78,177,1,As
235,183,4,Dy
187,239,4,Dy
114,109,2,Ag
29,28,1,As
227,201,1,As
161,86,4,Dy
210,204,4,Dy
123,87,1,As
36,39,3,I
76,204,4,Dy
20,6,1,As
107,118,1,As
232,222,1,As
218,0,2,Ag
239,177,4,Dy
246,6,1,As
35,204,4,Dy
53,222,1,As
39,53,4,Dy
242,222,1,As
161,93,4,Dy
54,206,1,As
83,161,1,As
206,178,1,As
185,6,1,As
246,230,4,Dy
184,177,1,As
221,230,4,Dy
81,226,3,I
164,162,3,I
216,226,3,I
53,51,1,As
53,230,4,Dy
196,222,1,As
112,109,2,Ag
23,177,4,Dy
78,72,4,Dy
171,94,2,Ag
239,222,1,As
36,51,1,As
255,257,1,As
177,6,3,I
103,109,1,As
185,230,4,Dy
234,35,4,Dy
64,54,1,As
71,229,4,Dy
118,117,1,As
206,220,1,As
221,218,1,As
255,216,1,As
194,211,4,Dy
75,223,4,Dy
129,171,1,As
234,222,2,Ag
139,86,4,Dy
178,54,1,As
201,203,4,Dy
56,55,3,I
18,6,1,As
73,216,1,As
1,205,1,As
196,204,4,Dy
97,86,4,Dy
150,89,1,As
77,79,1,As
194,45,4,Dy
192,71,4,Dy
76,6,1,As
204,55,1,As
26,205,1,As
97,89,1,As
206,177,2,Ag
23,177,1,As
37,223,4,Dy
214,228,3,I
248,67,4,Dy
115,109,2,Ag
77,223,4,Dy
6,218,1,As
171,172,1,As
222,51,1,As
6,229,4,Dy
85,222,1,As
161,171,1,As
107,119,4,Dy
221,82,2,Ag
6,224,4,Dy
61,55,3,I
1,259,4,Dy
58,63,3,I
21,223,4,Dy
19,27,1,As
238,36,4,Dy
30,6,1,As
198,200,3,I
118,101,3,I
116,109,2,Ag
184,177,4,Dy
64,40,1,As
99,98,1,As
177,71,4,Dy
62,55,3,I
6,82,2,Ag
54,206,4,Dy
210,222,1,As
15,26,1,As
103,105,1,As
190,191,1,As
206,1,4,Dy
78,177,4,Dy
248,239,4,Dy
115,118,1,As
242,82,1,As
224,82,2,Ag
221,37,4,Dy
134,161,1,As
114,118,2,Ag
118,113,1,As
31,54,1,As
46,40,3,I
214,221,2,Ag
60,222,2,Ag
1,0,3,I
158,171,1,As
216,222,1,As
0,204,4,Dy
208,229,4,Dy
161,123,1,As
54,213,1,As
253,255,2,Ag
178,71,4,Dy
248,72,4,Dy
107,109,1,As
116,118,1,As
135,161,1,As
235,211,1,As
59,51,1,As
118,114,1,As
178,228,1,As
105,109,1,As
