Id,Name,Set_of_Attrdeps,Set_of_Methoddeps
53,smashed.Notepad$6,"{attrDeps:{smashed.Notepad:2}}","{methodDeps:{smashed.Actions:1}}"
49,smashed.Notepad$3,"{attrDeps:{smashed.Notepad:2}}","{methodDeps:{smashed.Actions:1}}"
61,tests.NotepadRUN,null,"{methodDeps:{runspl.RunSPL:1}}"
41,smashed.Notepad$22,"{attrDeps:{smashed.Notepad:2}}","{methodDeps:{smashed.Actions:1}}"
45,smashed.Notepad$26,"{attrDeps:{smashed.Notepad:2}}","{methodDeps:{smashed.Actions:1}}"
7,featuremodel.Configuration,"{attrDeps:{featuremodel.FeatureValue:2}}","{methodDeps:{featuremodel.FeatureValue:1,featuremodel.Configuration$1:1}}"
22,smashed.Center,"{attrDeps:{smashed.Fonts:2,smashed.Notepad:2}}",null
0,annotationclasses___.Anonymous___,null,null
24,smashed.Fonts$1,"{attrDeps:{smashed.Fonts:2}}","{methodDeps:{smashed.Fonts:3}}"
60,smashed.UndoAction,"{attrDeps:{smashed.Notepad:2}}","{methodDeps:{smashed.Notepad:1,smashed.RedoAction:1}}"
30,smashed.Notepad$12,"{attrDeps:{smashed.Notepad:2}}","{methodDeps:{smashed.Actions:1}}"
34,smashed.Notepad$16,"{attrDeps:{smashed.Notepad:2}}","{methodDeps:{smashed.Actions:1}}"
64,tests.NotepadTEST,null,"{methodDeps:{runspl.RunSPL:1,tests.NotepadTEST$2:1,tests.NotepadTEST$1:1}}"
54,smashed.Notepad$7,"{attrDeps:{smashed.Notepad:2}}","{methodDeps:{smashed.Actions:1}}"
42,smashed.Notepad$23,"{attrDeps:{smashed.Notepad:2}}","{methodDeps:{smashed.Actions:1}}"
46,smashed.Notepad$27,"{attrDeps:{smashed.Notepad:2}}","{methodDeps:{smashed.Actions:1}}"
8,featuremodel.Constraint,null,null
31,smashed.Notepad$13,"{attrDeps:{smashed.Notepad:2}}","{methodDeps:{smashed.Actions:1}}"
35,smashed.Notepad$17,"{attrDeps:{smashed.Notepad:2}}","{methodDeps:{smashed.Actions:1}}"
