Id,Name
53,smashed.Notepad$6
49,smashed.Notepad$3
61,tests.NotepadRUN
41,smashed.Notepad$22
45,smashed.Notepad$26
7,featuremodel.Configuration
22,smashed.Center
0,annotationclasses___.Anonymous___
24,smashed.Fonts$1
60,smashed.UndoAction
30,smashed.Notepad$12
34,smashed.Notepad$16
64,tests.NotepadTEST
54,smashed.Notepad$7
42,smashed.Notepad$23
46,smashed.Notepad$27
8,featuremodel.Constraint
31,smashed.Notepad$13
35,smashed.Notepad$17
10,featuremodel.FeatureModel
12,featuremodel.FeatureValue
38,smashed.Notepad$2
3,annotationclasses___.Test___
51,smashed.Notepad$4
55,smashed.Notepad$8
39,smashed.Notepad$20
43,smashed.Notepad$24
47,smashed.Notepad$28
1,annotationclasses___.Feature___
21,smashed.Actions
62,tests.NotepadTEST$1
19,smashed.Actions$1
5,featuremodel.CompoundProposition
23,smashed.ExampleFileFilter
50,smashed.Notepad$30
18,smashed.About
28,smashed.Notepad$10
32,smashed.Notepad$14
36,smashed.Notepad$18
17,runspl.RunSPL
4,featuremodel.BinaryProposition
26,smashed.Fonts
57,smashed.Notepad
52,smashed.Notepad$5
56,smashed.Notepad$9
40,smashed.Notepad$21
44,smashed.Notepad$25
48,smashed.Notepad$29
15,featuremodel.UnaryProposition
63,tests.NotepadTEST$2
20,smashed.Actions$2
27,smashed.Notepad$1
2,annotationclasses___.Ignore___
11,featuremodel.FeatureModelBuilder
16,runspl.JavaUtility
25,smashed.Fonts$2
59,smashed.RedoAction
29,smashed.Notepad$11
33,smashed.Notepad$15
37,smashed.Notepad$19
58,smashed.Print
14,featuremodel.RelevantModelIterator
6,featuremodel.Configuration$1
13,featuremodel.Proposition
9,featuremodel.FeatureID
