From,To,Type,Stype
22,57,2,Ag
57,21,1,As
45,57,2,Ag
30,57,2,Ag
57,50,1,As
17,12,1,As
35,21,1,As
55,57,2,Ag
57,35,1,As
25,26,1,As
17,10,1,As
38,60,1,As
57,42,1,As
20,21,2,Ag
42,21,1,As
51,21,1,As
10,16,1,As
7,12,1,As
21,57,1,As
49,57,2,Ag
37,57,2,Ag
44,57,2,Ag
29,57,2,Ag
57,59,1,As
19,26,1,As
21,64,1,As
26,22,1,As
34,21,1,As
56,57,2,Ag
64,17,1,As
57,34,1,As
57,49,1,As
57,41,1,As
19,21,2,Ag
5,13,3,I
41,21,1,As
52,21,1,As
54,21,1,As
60,59,1,As
60,57,1,As
39,57,2,Ag
10,7,1,As
47,57,2,Ag
57,22,1,As
32,57,2,Ag
17,16,1,As
53,57,2,Ag
33,21,1,As
57,29,1,As
57,37,1,As
57,52,1,As
38,59,1,As
57,44,1,As
40,21,1,As
53,21,1,As
46,21,1,As
46,57,2,Ag
7,6,1,As
57,27,1,As
31,57,2,Ag
54,57,2,Ag
32,21,1,As
57,28,1,As
57,36,1,As
57,51,1,As
57,43,1,As
39,21,1,As
21,18,1,As
56,21,1,As
47,21,1,As
41,57,2,Ag
21,19,1,As
27,57,2,Ag
21,23,1,As
22,26,2,Ag
15,13,3,I
34,57,2,Ag
57,38,1,As
18,57,1,As
31,21,1,As
57,31,1,As
51,57,2,Ag
57,54,1,As
57,46,1,As
49,21,1,As
55,21,1,As
48,21,1,As
59,57,1,As
40,57,2,Ag
4,13,3,I
17,7,1,As
48,57,2,Ag
57,64,1,As
33,57,2,Ag
62,57,1,As
26,25,1,As
30,21,1,As
52,57,2,Ag
57,30,1,As
17,11,1,As
57,53,1,As
57,45,1,As
45,21,1,As
10,14,1,As
27,21,1,As
11,16,1,As
11,9,1,As
38,57,2,Ag
36,57,2,Ag
43,57,2,Ag
28,57,2,Ag
6,7,1,As
37,21,1,As
26,24,1,As
57,33,1,As
29,21,1,As
57,56,1,As
57,40,1,As
57,48,1,As
59,60,1,As
64,63,1,As
44,21,1,As
21,58,1,As
61,17,1,As
21,26,1,As
10,12,1,As
42,57,2,Ag
21,20,1,As
35,57,2,Ag
50,21,1,As
57,60,1,As
19,57,1,As
36,21,1,As
57,32,1,As
24,26,1,As
28,21,1,As
57,55,1,As
57,39,1,As
57,47,1,As
43,21,1,As
64,62,1,As
50,57,2,Ag
