Id,Name,Set_of_Attrdeps,Set_of_Methoddeps
391,com.thoughtworks.xstream.persistence.XmlSet,"{attrDeps:{com.thoughtworks.xstream.persistence.XmlMap:1,com.thoughtworks.xstream.persistence.PersistenceStrategy:1,com.thoughtworks.xstream.persistence.AbstractFilePersistenceStrategy:1,com.thoughtworks.xstream.persistence.StreamStrategy:1}}","{methodDeps:{com.thoughtworks.xstream.persistence.XmlMap:3,com.thoughtworks.xstream.persistence.AbstractFilePersistenceStrategy:1,com.thoughtworks.xstream.persistence.StreamStrategy:1}}"
144,com.thoughtworks.xstream.converters.reflection.SerializableConverter$2,"{attrDeps:{com.thoughtworks.xstream.converters.UnmarshallingContext:2,com.thoughtworks.xstream.mapper.DefaultMapper:1,com.thoughtworks.xstream.converters.reflection.AbstractReflectionConverter$UnknownFieldException:3,com.thoughtworks.xstream.converters.javabean.JavaBeanConverter$DuplicateFieldException:3,com.thoughtworks.xstream.converters.javabean.JavaBeanConverter$DuplicatePropertyException:3,com.thoughtworks.xstream.converters.reflection.ReflectionProviderWrapper:1,com.thoughtworks.xstream.core.AbstractReferenceMarshaller$ReferencedImplicitElementException:3,com.thoughtworks.xstream.core.TreeUnmarshaller:2,com.thoughtworks.xstream.converters.reflection.SerializableConverter:2,com.thoughtworks.xstream.core.TreeMarshaller$CircularReferenceException:3,com.thoughtworks.xstream.io.ExtendedHierarchicalStreamReader:2,com.thoughtworks.xstream.mapper.MapperWrapper:1,com.thoughtworks.xstream.io.HierarchicalStreamReader:2,com.thoughtworks.xstream.core.util.CustomObjectInputStream$StreamCallback:1,com.thoughtworks.xstream.converters.reflection.PureJavaReflectionProvider:1,com.thoughtworks.xstream.converters.reflection.AbstractReflectionConverter$DuplicateFieldException:3,com.thoughtworks.xstream.converters.reflection.CGLIBEnhancedConverter:2,com.thoughtworks.xstream.io.xml.DocumentReader:2}}","{methodDeps:{com.thoughtworks.xstream.converters.UnmarshallingContext:5,com.thoughtworks.xstream.mapper.DefaultMapper:8,com.thoughtworks.xstream.converters.reflection.AbstractReflectionConverter$UnknownFieldException:3,com.thoughtworks.xstream.converters.javabean.JavaBeanConverter$DuplicateFieldException:3,com.thoughtworks.xstream.converters.javabean.JavaBeanConverter$DuplicatePropertyException:3,com.thoughtworks.xstream.converters.reflection.ReflectionProviderWrapper:2,com.thoughtworks.xstream.core.AbstractReferenceMarshaller$ReferencedImplicitElementException:3,com.thoughtworks.xstream.core.TreeUnmarshaller:5,com.thoughtworks.xstream.converters.ConversionException:3,com.thoughtworks.xstream.core.TreeMarshaller$CircularReferenceException:3,com.thoughtworks.xstream.io.ExtendedHierarchicalStreamReader:24,com.thoughtworks.xstream.mapper.MapperWrapper:8,com.thoughtworks.xstream.io.HierarchicalStreamReader:24,com.thoughtworks.xstream.mapper.Mapper:8,com.thoughtworks.xstream.converters.reflection.MissingFieldException:1,com.thoughtworks.xstream.core.util.CustomObjectInputStream$StreamCallback:1,com.thoughtworks.xstream.converters.reflection.SerializableConverter$2$1:1,com.thoughtworks.xstream.converters.reflection.PureJavaReflectionProvider:2,com.thoughtworks.xstream.converters.reflection.ReflectionProvider:2,com.thoughtworks.xstream.core.util.HierarchicalStreams:3,com.thoughtworks.xstream.converters.reflection.AbstractReflectionConverter$DuplicateFieldException:3,com.thoughtworks.xstream.converters.reflection.CGLIBEnhancedConverter:2,com.thoughtworks.xstream.io.xml.DocumentReader:24}}"
399,featuremodel.CompoundProposition,"{attrDeps:{featuremodel.Proposition:1}}","{methodDeps:{featuremodel.Proposition:1}}"
301,com.thoughtworks.xstream.io.xml.Dom4JWriter,"{attrDeps:{com.thoughtworks.xstream.io.xml.AbstractXmlWriter:2,com.thoughtworks.xstream.io.naming.NoNameCoder:3,com.thoughtworks.xstream.io.xml.AbstractDocumentWriter:1,com.thoughtworks.xstream.io.naming.NameCoder:3,com.thoughtworks.xstream.io.json.AbstractJsonWriter:2,com.thoughtworks.xstream.io.xml.XmlFriendlyReplacer:3,com.thoughtworks.xstream.io.xml.XStream11NameCoder:3,com.thoughtworks.xstream.io.xml.XmlFriendlyNameCoder:3,com.thoughtworks.xstream.io.naming.NameCoderWrapper:3,com.thoughtworks.xstream.io.naming.StaticNameCoder:3,com.thoughtworks.xstream.io.xml.XStream11XmlFriendlyReplacer:3}}","{methodDeps:{com.thoughtworks.xstream.io.AbstractWriter:2,com.thoughtworks.xstream.io.xml.AbstractXmlWriter:2,com.thoughtworks.xstream.io.naming.NoNameCoder:3,com.thoughtworks.xstream.io.xml.AbstractDocumentWriter:1,com.thoughtworks.xstream.io.json.AbstractJsonWriter:2,com.thoughtworks.xstream.io.xml.XStream11NameCoder:3,com.thoughtworks.xstream.io.xml.XmlFriendlyReplacer:3,com.thoughtworks.xstream.io.xml.XmlFriendlyNameCoder:3,com.thoughtworks.xstream.io.naming.NameCoderWrapper:3,com.thoughtworks.xstream.io.naming.StaticNameCoder:3,com.thoughtworks.xstream.io.xml.XStream11XmlFriendlyReplacer:3}}"
377,com.thoughtworks.xstream.mapper.XmlFriendlyMapper,"{attrDeps:{com.thoughtworks.xstream.mapper.EnumMapper:2,com.thoughtworks.xstream.mapper.DefaultMapper:1,com.thoughtworks.xstream.mapper.FieldAliasingMapper:1,com.thoughtworks.xstream.mapper.ImmutableTypesMapper:1,com.thoughtworks.xstream.mapper.CachingMapper:1,com.thoughtworks.xstream.mapper.DefaultImplementationsMapper:1,com.thoughtworks.xstream.mapper.OuterClassMapper:2,com.thoughtworks.xstream.mapper.AnnotationMapper:1,com.thoughtworks.xstream.mapper.AttributeMapper:1,com.thoughtworks.xstream.mapper.ImplicitCollectionMapper:1,com.thoughtworks.xstream.mapper.MapperWrapper:1,com.thoughtworks.xstream.mapper.Mapper:1,com.thoughtworks.xstream.mapper.DynamicProxyMapper:1,com.thoughtworks.xstream.mapper.PackageAliasingMapper:1,com.thoughtworks.xstream.mapper.AbstractAttributeAliasingMapper:1,com.thoughtworks.xstream.mapper.ClassAliasingMapper:2,com.thoughtworks.xstream.mapper.AbstractXmlFriendlyMapper:1,com.thoughtworks.xstream.mapper.LocalConversionMapper:1,com.thoughtworks.xstream.mapper.CGLIBMapper:1,com.thoughtworks.xstream.mapper.ArrayMapper:1}}","{methodDeps:{com.thoughtworks.xstream.mapper.EnumMapper:4,com.thoughtworks.xstream.mapper.DefaultMapper:1,com.thoughtworks.xstream.mapper.FieldAliasingMapper:1,com.thoughtworks.xstream.mapper.ImmutableTypesMapper:1,com.thoughtworks.xstream.mapper.CachingMapper:1,com.thoughtworks.xstream.mapper.DefaultImplementationsMapper:1,com.thoughtworks.xstream.mapper.OuterClassMapper:4,com.thoughtworks.xstream.mapper.AnnotationMapper:1,com.thoughtworks.xstream.mapper.AttributeMapper:1,com.thoughtworks.xstream.mapper.ImplicitCollectionMapper:1,com.thoughtworks.xstream.mapper.MapperWrapper:1,com.thoughtworks.xstream.mapper.DynamicProxyMapper:1,com.thoughtworks.xstream.mapper.PackageAliasingMapper:1,com.thoughtworks.xstream.mapper.AbstractAttributeAliasingMapper:1,com.thoughtworks.xstream.mapper.ClassAliasingMapper:4,com.thoughtworks.xstream.mapper.AbstractXmlFriendlyMapper:1,com.thoughtworks.xstream.mapper.LocalConversionMapper:1,com.thoughtworks.xstream.mapper.CGLIBMapper:1,com.thoughtworks.xstream.mapper.ArrayMapper:1}}"
226,com.thoughtworks.xstream.core.util.WeakCache$1,"{attrDeps:{com.thoughtworks.xstream.core.util.WeakCache:2,com.thoughtworks.xstream.core.util.WeakCache$Visitor:1}}","{methodDeps:{com.thoughtworks.xstream.core.util.WeakCache$Visitor:1}}"
299,com.thoughtworks.xstream.io.xml.Dom4JDriver,"{attrDeps:{com.thoughtworks.xstream.io.HierarchicalStreamWriter:2,com.thoughtworks.xstream.io.naming.NameCoder:2,com.thoughtworks.xstream.io.xml.AbstractXmlDriver:2,com.thoughtworks.xstream.io.xml.XmlFriendlyReplacer:2,com.thoughtworks.xstream.io.xml.XStream11XmlFriendlyReplacer:2,com.thoughtworks.xstream.io.xml.DocumentWriter:2,com.thoughtworks.xstream.io.json.JettisonMappedXmlDriver:2,com.thoughtworks.xstream.io.ExtendedHierarchicalStreamReader:4,com.thoughtworks.xstream.io.naming.NoNameCoder:2,com.thoughtworks.xstream.io.HierarchicalStreamReader:4,com.thoughtworks.xstream.io.xml.XStream11NameCoder:2,com.thoughtworks.xstream.io.xml.XmlFriendlyNameCoder:2,com.thoughtworks.xstream.io.naming.NameCoderWrapper:2,com.thoughtworks.xstream.io.naming.StaticNameCoder:2,com.thoughtworks.xstream.io.binary.BinaryStreamDriver:2,com.thoughtworks.xstream.io.json.JsonHierarchicalStreamDriver:2,com.thoughtworks.xstream.io.ExtendedHierarchicalStreamWriter:2,com.thoughtworks.xstream.io.xml.DocumentReader:4}}","{methodDeps:{com.thoughtworks.xstream.io.StreamException:4,com.thoughtworks.xstream.io.xml.AbstractXmlDriver:5,com.thoughtworks.xstream.io.xml.XmlFriendlyReplacer:2,com.thoughtworks.xstream.io.xml.XStream11XmlFriendlyReplacer:2,com.thoughtworks.xstream.io.xml.DocumentWriter:2,com.thoughtworks.xstream.io.json.JettisonMappedXmlDriver:5,com.thoughtworks.xstream.io.ExtendedHierarchicalStreamReader:4,com.thoughtworks.xstream.io.naming.NoNameCoder:2,com.thoughtworks.xstream.io.xml.Dom4JReader:4,com.thoughtworks.xstream.io.AbstractDriver:5,com.thoughtworks.xstream.io.xml.XStream11NameCoder:2,com.thoughtworks.xstream.io.xml.XmlFriendlyNameCoder:2,com.thoughtworks.xstream.io.naming.NameCoderWrapper:2,com.thoughtworks.xstream.io.naming.StaticNameCoder:2,com.thoughtworks.xstream.io.binary.BinaryStreamDriver:5,com.thoughtworks.xstream.io.xml.Dom4JDriver$1:1,com.thoughtworks.xstream.io.json.JsonHierarchicalStreamDriver:5,com.thoughtworks.xstream.io.ExtendedHierarchicalStreamWriter:2,com.thoughtworks.xstream.io.xml.Dom4JXmlWriter:1,com.thoughtworks.xstream.io.xml.DocumentReader:4}}"
106,com.thoughtworks.xstream.converters.javabean.PropertyDictionary,"{attrDeps:{com.thoughtworks.xstream.converters.javabean.PropertySorter:2,com.thoughtworks.xstream.converters.reflection.MissingFieldException:2,com.thoughtworks.xstream.converters.javabean.BeanProperty:1,com.thoughtworks.xstream.converters.javabean.NativePropertySorter:2,com.thoughtworks.xstream.converters.javabean.ComparingPropertySorter:2,com.thoughtworks.xstream.core.Caching:1}}","{methodDeps:{com.thoughtworks.xstream.core.util.OrderRetainingMap:1,com.thoughtworks.xstream.converters.reflection.MissingFieldException:1,com.thoughtworks.xstream.converters.javabean.PropertySorter:1,com.thoughtworks.xstream.converters.javabean.NativePropertySorter:1,com.thoughtworks.xstream.converters.javabean.BeanProperty:2,com.thoughtworks.xstream.converters.javabean.ComparingPropertySorter:1,com.thoughtworks.xstream.core.Caching:1,com.thoughtworks.xstream.converters.reflection.ObjectAccessException:1}}"
50,com.thoughtworks.xstream.converters.ConversionException,"{attrDeps:{com.thoughtworks.xstream.XStreamException:1,com.thoughtworks.xstream.converters.ErrorWriter:1}}","{methodDeps:{com.thoughtworks.xstream.core.util.OrderRetainingMap:2,com.thoughtworks.xstream.XStreamException:1,com.thoughtworks.xstream.converters.ErrorWriter:1}}"
265,com.thoughtworks.xstream.io.json.AbstractJsonWriter,"{attrDeps:{com.thoughtworks.xstream.io.naming.NameCoder:2,com.thoughtworks.xstream.core.util.FastStack:1,com.thoughtworks.xstream.converters.reflection.AbstractReflectionConverter$UnknownFieldException:1,com.thoughtworks.xstream.converters.javabean.JavaBeanConverter$DuplicateFieldException:1,com.thoughtworks.xstream.converters.javabean.JavaBeanConverter$DuplicatePropertyException:1,com.thoughtworks.xstream.core.AbstractReferenceMarshaller$ReferencedImplicitElementException:1,com.thoughtworks.xstream.core.TreeMarshaller$CircularReferenceException:1,com.thoughtworks.xstream.io.AbstractWriter:1,com.thoughtworks.xstream.io.naming.NoNameCoder:2,com.thoughtworks.xstream.io.xml.XmlFriendlyNameCoder:2,com.thoughtworks.xstream.io.naming.NameCoderWrapper:2,com.thoughtworks.xstream.io.naming.StaticNameCoder:2,com.thoughtworks.xstream.io.json.AbstractJsonWriter$Type:2,com.thoughtworks.xstream.converters.reflection.AbstractReflectionConverter$DuplicateFieldException:1}}","{methodDeps:{com.thoughtworks.xstream.core.util.FastStack:12,com.thoughtworks.xstream.converters.reflection.AbstractReflectionConverter$UnknownFieldException:1,com.thoughtworks.xstream.converters.javabean.JavaBeanConverter$DuplicateFieldException:1,com.thoughtworks.xstream.converters.javabean.JavaBeanConverter$DuplicatePropertyException:1,com.thoughtworks.xstream.io.json.AbstractJsonWriter$StackElement:2,com.thoughtworks.xstream.core.AbstractReferenceMarshaller$ReferencedImplicitElementException:1,com.thoughtworks.xstream.converters.ConversionException:1,com.thoughtworks.xstream.core.TreeMarshaller$CircularReferenceException:1,com.thoughtworks.xstream.io.AbstractWriter:1,com.thoughtworks.xstream.io.naming.NoNameCoder:2,com.thoughtworks.xstream.io.json.AbstractJsonWriter$IllegalWriterStateException:11,com.thoughtworks.xstream.io.xml.XmlFriendlyNameCoder:2,com.thoughtworks.xstream.io.naming.NameCoderWrapper:2,com.thoughtworks.xstream.io.naming.StaticNameCoder:2,com.thoughtworks.xstream.converters.reflection.AbstractReflectionConverter$DuplicateFieldException:1}}"
