From,To,Type,Stype
118,100,4,Dy
180,261,1,As
330,275,4,Dy
201,131,4,Dy
292,311,1,As
198,196,1,As
397,164,3,I
348,371,1,As
160,50,3,I
156,260,1,As
316,275,4,Dy
161,159,1,As
192,169,4,Dy
123,140,4,Dy
120,119,1,As
376,351,4,Dy
91,114,4,Dy
293,297,4,Dy
291,237,3,I
141,179,4,Dy
144,296,4,Dy
395,368,4,Dy
151,150,1,As
395,368,1,As
6,92,4,Dy
48,36,1,As
358,365,4,Dy
54,28,4,Dy
64,17,3,I
120,119,4,Dy
142,131,4,Dy
4,1,1,As
46,257,4,Dy
110,117,4,Dy
157,82,4,Dy
48,88,4,Dy
136,138,1,As
339,273,4,Dy
349,371,1,As
396,339,1,As
313,322,4,Dy
63,157,1,As
317,237,1,As
242,243,1,As
290,275,4,Dy
342,324,3,I
307,290,4,Dy
315,342,4,Dy
192,190,1,As
372,365,4,Dy
306,261,2,Ag
308,275,4,Dy
49,256,4,Dy
172,163,3,I
195,392,4,Dy
299,302,1,As
376,343,4,Dy
193,195,1,As
291,325,3,I
40,260,1,As
58,201,1,As
102,104,1,As
257,261,3,I
361,165,3,I
376,343,3,I
37,297,4,Dy
395,32,1,As
54,78,4,Dy
300,274,4,Dy
305,265,4,Dy
180,28,4,Dy
255,260,1,As
383,358,4,Dy
180,78,4,Dy
313,322,1,As
182,155,4,Dy
395,84,1,As
368,199,1,As
172,371,2,Ag
52,90,4,Dy
68,182,4,Dy
235,274,4,Dy
395,80,4,Dy
147,180,4,Dy
384,383,3,I
93,101,4,Dy
96,95,4,Dy
353,397,3,I
71,256,4,Dy
162,72,4,Dy
119,120,2,Ag
156,296,4,Dy
47,48,2,Ag
377,363,4,Dy
250,254,1,As
304,341,4,Dy
379,55,2,Ag
166,36,4,Dy
44,36,1,As
23,168,1,As
158,126,4,Dy
102,96,4,Dy
173,162,3,I
108,28,4,Dy
28,108,1,As
37,261,1,As
303,342,4,Dy
309,322,4,Dy
255,297,4,Dy
23,60,3,I
124,126,1,As
90,108,1,As
37,177,4,Dy
54,102,4,Dy
339,293,3,I
376,360,4,Dy
348,346,1,As
33,17,3,I
358,81,4,Dy
319,322,2,Ag
68,51,3,I
235,322,4,Dy
176,371,1,As
350,361,4,Dy
40,296,4,Dy
310,274,4,Dy
98,103,3,I
226,232,2,Ag
348,126,4,Dy
293,260,2,Ag
267,265,4,Dy
43,37,4,Dy
182,63,4,Dy
198,131,4,Dy
161,77,4,Dy
188,189,2,Ag
302,275,4,Dy
162,200,1,As
340,272,1,As
74,117,4,Dy
384,156,4,Dy
317,265,4,Dy
350,358,4,Dy
371,77,4,Dy
161,166,4,Dy
63,182,4,Dy
175,166,4,Dy
326,341,4,Dy
149,131,4,Dy
266,235,3,I
68,157,1,As
340,275,4,Dy
182,157,3,I
171,276,2,Ag
265,237,3,I
267,237,1,As
41,36,3,I
151,165,3,I
156,61,1,As
44,88,4,Dy
279,277,1,As
147,393,4,Dy
182,118,4,Dy
182,157,4,Dy
377,360,4,Dy
350,349,4,Dy
74,179,4,Dy
49,46,1,As
395,6,4,Dy
144,114,4,Dy
43,371,1,As
358,369,1,As
147,392,4,Dy
124,371,1,As
395,80,1,As
174,261,1,As
102,96,1,As
377,357,4,Dy
147,140,4,Dy
379,371,2,Ag
379,108,4,Dy
162,56,4,Dy
166,117,4,Dy
348,362,1,As
395,51,2,Ag
127,130,1,As
163,256,4,Dy
310,322,1,As
190,192,2,Ag
156,260,4,Dy
223,209,3,I
176,372,4,Dy
302,341,4,Dy
329,324,4,Dy
142,108,1,As
315,256,4,Dy
116,50,1,As
361,17,4,Dy
161,276,1,As
395,44,1,As
310,322,4,Dy
384,303,1,As
336,324,4,Dy
46,100,4,Dy
4,3,1,As
265,160,4,Dy
92,157,1,As
72,256,4,Dy
268,272,1,As
51,53,3,I
395,136,4,Dy
111,358,4,Dy
255,261,1,As
182,71,4,Dy
291,324,1,As
395,78,4,Dy
112,137,4,Dy
157,51,1,As
141,101,4,Dy
300,322,4,Dy
174,358,4,Dy
395,375,1,As
161,38,4,Dy
110,160,4,Dy
37,260,1,As
326,275,4,Dy
124,372,4,Dy
243,282,1,As
192,101,4,Dy
195,193,1,As
180,51,1,As
42,257,4,Dy
127,130,4,Dy
147,191,1,As
348,68,4,Dy
158,90,4,Dy
102,180,4,Dy
294,315,3,I
161,56,4,Dy
69,108,1,As
292,322,4,Dy
395,297,4,Dy
258,261,1,As
141,117,4,Dy
120,91,4,Dy
395,44,4,Dy
111,139,1,As
63,258,1,As
6,156,1,As
349,216,1,As
301,324,2,Ag
158,63,4,Dy
299,289,4,Dy
48,47,1,As
286,274,4,Dy
226,231,3,I
258,297,4,Dy
300,322,1,As
363,372,4,Dy
299,289,3,I
91,22,4,Dy
156,261,1,As
126,114,4,Dy
